ENTRY	GENES	NAME
EC 1.2.1.10	[u'mhpF', u'adhE']	AcdH
EC 1.2.1.19	[u'patD']	A
EC 1.2.1.19	[u'patD']	d
EC 1.2.1.19	[u'patD']	b
EC 1.2.1.19	[u'patD']	H
EC 1.2.1.2	[u'fdoG', u'fdhF']	FdoG
EC 1.2.1.2	[u'fdoG', u'fdhF']	FdhF
EC 1.20.4.1	[u'yfgD', u'arsC']	YfgD
EC 1.20.4.1	[u'yfgD', u'arsC']	ArsC
EC 3.1.1.5	[u'tesA', u'pldB']	PldB
EC 1.3.1.1	[u'preT', u'preA']	[u'PreA', u'PreT']
EC 1.3.1.10	[u'fabI']	[u'FabI']
EC 1.3.1.12	[u'tyrA']	[u'TyrA']
EC 1.3.1.28	[u'entA']	[u'EntA']
EC 1.3.1.34	[u'fadH']	[u'FadH']
EC 1.3.1.76	[u'cysG']	[u'CysG']
EC 1.3.1.87	[u'hcaB']	[u'HcaF']
EC 1.3.1.9	[u'fabI']	[u'FabI']
EC 1.3.1.98	[u'murB']	[u'MurB']
EC 1.3.3.3	[u'hemF']	[u'Hem6']
EC 1.3.5.1	[u'sdhA', u'sdhB']	[u'SdhA', u'SdhB']
EC 1.3.5.2	[u'pyrD']	[u'PyrD']
EC 1.3.5.3	[u'hemG']	[u'HemG']
EC 1.3.5.4	[u'frdB', u'frdA']	[u'FrdA', u'FrdB']
EC 1.3.99.22	[u'yggW', u'hemN']	[u'HemN', u'YggW']
EC 1.4.1.13	[u'gltB', u'gltD']	[u'GltB', u'GltD']
EC 1.4.1.14	[u'gltB', u'gltD']	[u'GltB', u'GltD']
EC 1.4.1.4	[u'gdhA']	[u'Dhe4']
EC 1.4.3.16	[u'nadB']	[u'NadB']
EC 1.4.3.21	[u'tynA']	[u'Amo']
EC 1.4.3.5	[u'pdxH']	[u'PdxH']
EC 1.4.4.2	[u'gcvP']	[u'GcsP']
EC 1.4.99.1	[u'dadA']	[u'DadA']
EC 1.5.1.2	[u'proC']	[u'P5cR']
EC 1.5.1.20	[u'metF']	[u'MetF']
EC 1.5.1.3	[u'folA', u'folM']	[u'Dyr', u'FolM']
EC 1.5.1.34	[u'nfsB']	[u'NfnB']
EC 1.5.1.38	[u'ssuE']	[u'SsuE']
EC 1.5.1.41	[u'fre']	[u'Fre']
EC 1.5.1.5	[u'folD']	[u'FolD']
EC 1.5.5.2	[u'putA']	[u'PutA']
EC 1.6.1.1	[u'sthA']	[u'SthA']
EC 1.6.1.2	[u'pntB', u'pntA']	[u'PntB', u'PntA']
EC 1.6.5.3	[u'nuoN', u'nuoM', u'nuoL', u'nuoK', u'nuoJ', u'nuoI', u'nuoH', u'nuoG', u'nuoF', u'nuoE', u'nuoC', u'nuoB', u'nuoA']	[u'NuoB', u'NuoCD', u'NuoA', u'NuoF', u'NuoG', u'NuoE', u'NuoJ', u'NuoK', u'NuoH', u'NuoI', u'NuoN', u'NuoL', u'NuoM']
EC 1.6.5.5	[u'qorA']	[u'Qor1']
EC 1.6.99.3	[u'ndh']	[u'DhnA']
EC 1.7.1.13	[u'queF']	[u'QueF']
EC 1.7.1.15	[u'nirB', u'nirD']	[u'NirD', u'NirB']
EC 1.7.1.7	[u'guaC']	[u'GuaC']
EC 1.7.2.2	[u'nrfA']	[u'NrfA']
EC 1.7.2.3	[u'torA', u'torZ']	[u'TorA', u'TorZ']
EC 1.7.99.1	[u'hcp']	[u'Hcp']
EC 1.7.99.4	[u'narG', u'narH', u'narI', u'narV', u'narY', u'narZ', u'napA']	[u'NarZ', u'NarH', u'NarY', u'NarV', u'NarI', u'NarG', u'NapA']
EC 1.8.1.2	[u'cysI', u'cysJ']	[u'CysI', u'CysJ']
EC 1.8.1.7	[u'gor']	[u'GshR']
EC 1.8.1.8	[u'trxC', u'dsbD']	[u'ThiO2', u'DsbD']
EC 1.8.1.9	[u'trxB']	[u'TrxB']
EC 1.8.4.11	[u'msrA']	[u'MsrA']
EC 1.8.4.12	[u'msrB']	[u'MsrB']
EC 1.8.4.8	[u'cysH']	[u'CysH']
EC 1.97.1.4	[u'ybiY', u'pflA', u'pflC', u'nrdG']	[u'PflE', u'NrdG', u'PflC', u'PflA']
EC 1.97.1.9	[u'ynfE', u'ynfF', u'ygfK']	[u'YgfK', u'YnfF', u'YnfE']
EC 2.1.1.10	[u'mmuM']	[u'MmuM']
EC 2.1.1.107	[u'cysG', u'hemX']	[u'CysG', u'HemX']
EC 2.1.1.13	[u'metH']	[u'MetH']
EC 2.1.1.14	[u'metE']	[u'MetE']
EC 2.1.1.144	[u'tam']	[u'Tam']
EC 2.1.1.163	[u'ubiE']	[u'UbiE']
EC 2.1.1.166	[u'rlmE']	[u'RlmE']
EC 2.1.1.170	[u'rsmG']	[u'RsmG']
EC 2.1.1.171	[u'rsmD']	[u'RsmD']
EC 2.1.1.172	[u'rsmC']	[u'RsmC']
EC 2.1.1.173	[u'rlmL']	[u'RlmKL']
EC 2.1.1.174	[u'rlmG']	[u'RlmG']
EC 2.1.1.176	[u'rsmB']	[u'RsmB']
EC 2.1.1.177	[u'rlmH']	[u'RlmH']
EC 2.1.1.178	[u'rsmF']	[u'RsmF']
EC 2.1.1.181	[u'rlmF']	[u'RlmF']
EC 2.1.1.182	[u'rsmA']	[u'RsmA']
EC 2.1.1.185	[u'rlmB']	[u'RlmB']
EC 2.1.1.186	[u'rlmM']	[u'RlmM']
EC 2.1.1.187	[u'rlmA']	[u'RlmA']
EC 2.1.1.189	[u'rlmC']	[u'RlmC']
EC 2.1.1.190	[u'rlmD']	[u'RlmD']
EC 2.1.1.191	[u'rlmI']	[u'RlmI']
EC 2.1.1.192	[u'rlmN']	[u'RlmN']
EC 2.1.1.193	[u'rsmE']	[u'RsmE']
EC 2.1.1.197	[u'bioC']	[u'BioC']
EC 2.1.1.198	[u'rsmI']	[u'RsmI']
EC 2.1.1.199	[u'rsmH']	[u'RsmH']
EC 2.1.1.200	[u'trmJ']	[u'TrmJ']
EC 2.1.1.201	[u'ubiE']	[u'UbiE']
EC 2.1.1.207	[u'trmL']	[u'TrmL']
EC 2.1.1.222	[u'ubiG']	[u'UbiG']
EC 2.1.1.223	[u'trmN']	TrmN
EC 2.1.1.228	[u'trmD']	[u'TrmD']
EC 2.1.1.242	[u'rsmJ']	[u'RsmJ']
