Global condition name	Specific condition (contained in the global condition) name	Control condition name	Experimental Details of the specific condition	Experimental Details of the control condition	Gene affected by the specific condition*	Gene expression effect caused by the specific condition	Promoter affected by the condition	Conformation of the transcription factor through which the condition affects the gene expression
Carbon Source	growth on glucose	growth on glycerol			crp	repressed		CRP-cAMP
Carbon Source	growth on glucose	growth on glycerol			ptsG	induced	ptsGp1	
Carbon Source	growth on glucose	growth on glycerol			ptsG	induced	ptsGp1	
Carbon Source	growth on malate	growth on glucose			dcuB	induced		
Carbon Source	growth on malate	growth on glucose			dcuB	induced		
Carbon Source	growth on malate	growth on glucose			frdA	induced		
Carbon Source	growth on malate	growth on glucose			frdA	induced		
Carbon Source	growth on maltose	growth without maltose			lamB	induced	malKp	
Carbon Source	growth on maltose	growth without maltose			malE	induced	malEp	
Carbon Source	growth on maltose	growth without maltose			malF	induced	malEp	
Carbon Source	growth on maltose	growth without maltose			malG	induced	malEp	
Carbon Source	growth on maltose	growth without maltose			malK	induced	malKp	
Carbon Source	growth on maltose	growth without maltose			malM	induced	malKp	
Carbon Source	growth on no-optimal carbon source	growth on  LB			cpxP	not effect		
Carbon Source	growth on no-optimal carbon source	growth on  LB			fic	induced		
Carbon Source	growth on no-optimal carbon source	growth on  LB			mdtA	induced		
Carbon Source	growth on no-optimal carbon source	growth on  LB			osmY	induced		
Carbon Source	growth on others carbon sources	growth on glycerol			dctA	induced		
Carbon Source	growth on others carbon sources	growth on glycerol			garD	induced		
Carbon Source	growth on others carbon sources	growth on glycerol			garP	induced		
Carbon Source	growth on others carbon sources	growth on glycerol			gudP	induced		
Carbon Source	growth on others carbon sources	growth on glycerol			mhpA	induced	mhpAp	
Carbon Source	growth on succinate	growth on glucose			dcuB	induced		
Carbon Source	growth on succinate	growth on glucose			feaR	induced		
Carbon Source	growth on succinate	growth on glucose			frdA	induced		
Carbon Source	growth on succinate	growth on glucose			tynA	induced		
Carbon Source	growth on tartrate	growth on glucose			dcuB	induced		
Carbon Source	growth on tartrate	growth on glucose			frdA	induced		
Carbon Source	growth with fumarate	growth without fumarate			dcuB	induced		
Carbon Source	growth with fumarate	growth without fumarate			dcuC	induced		
Carbon Source	growth with fumarate	growth without fumarate			frdA	induced		
Carbon Source	growth with fumarate	growth without fumarate			nuoA	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoB	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoC	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoE	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoF	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoG	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoH	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoI	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoJ	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoK	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoL	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoM	induced	nuoAp1	
Carbon Source	growth with fumarate	growth without fumarate			nuoN	induced	nuoAp1	
Carbon Source	growth with glucose	growth without glucose			aceA	repressed	aceBp	
Carbon Source	growth with glucose	growth without glucose			aceB	repressed	aceBp	
Carbon Source	growth with glucose	growth without glucose			aceK	repressed	aceBp	
Carbon Source	growth with glucose	growth without glucose			aroA	induced		
Carbon Source	growth with glucose	growth without glucose			dgsA	induced		
Carbon Source	growth with glucose	growth without glucose			dgsA	repressed		
Carbon Source	growth with glucose	growth without glucose			epd	repressed		
Carbon Source	growth with glucose	growth without glucose			feaR	repressed		
Carbon Source	growth with glucose	growth without glucose			glpA	repressed	glpABCp	
Carbon Source	growth with glucose	growth without glucose			glpD	repressed	glpDp	
Carbon Source	growth with glucose	growth without glucose			glpF	repressed	glpFp	
Carbon Source	growth with glucose	growth without glucose			glpT	repressed	glpTQp	
Carbon Source	growth with glucose	growth without glucose			ptsA	induced	ptsHp5	
Carbon Source	growth with glucose	growth without glucose			serC	induced	serCp	
Carbon Source	growth with glucose	growth without glucose			tsx	repressed		CytR
Carbon Source	growth with glucose	growth without glucose			tynA	repressed		
Carbon Source	growth with glucose	growth without glucose			yiaJ	repressed		
Carbon Source	growth with glucose	growth without glucose			yiaK	repressed	yiaKp	CRP-cAMP
Carbon Source	growth with glycine	growth without glycine			gcvT	induced	gcvTp	
Carbon Source	growth with glycolate	growth without glycolate			glcA	induced		
Carbon Source	growth with glycolate	growth without glycolate			glcB	induced		
Carbon Source	growth with glycolate	growth without glycolate			glcD	induced	glcDp	
Carbon Source	growth with glycolate	growth without glycolate			glcE	induced		GlcC-Glycolate
Carbon Source	growth with glycolate	growth without glycolate			glcE	induced		GlcC-Glycolate
Carbon Source	growth with glycolate	growth without glycolate			glcG	induced		
Carbon Source	growth with homocysteine	growth without homocysteine			hmp	repressed		
Carbon Source	growth with inosine	growth without inosine			gcvT	repressed	gcvTp	
Carbon Source	supplemented with glucose	no supplemented			cpxP	not effect		
Carbon Source	supplemented with glucose	no supplemented			dadA	repressed		CRP-cAMP
Carbon Source	supplemented with glucose	no supplemented			dadA	repressed		
Carbon Source	supplemented with glucose	no supplemented			fumA	repressed		
Carbon Source	supplemented with glucose	no supplemented			fumC	repressed		
Carbon Source	supplemented with glucose	no supplemented			hupA	repressed	hupAp	
Carbon Source	supplemented with glucose	no supplemented			hupB	repressed	hupBp3	
