Protein	TU	Function	Evidence that supports the existence of the regulatory interaction
RpoE	yjjL[yjjLp8]	+	[ICWHO]
RpoE	yjjM[yjjMp4]	+	[ICWHO]
RpoE	yjtD[yjtDp8]	+	[ICWHO]
RpoE	ykfI[ykfIp7]	+	[ICWHO]
RpoE	ykgJ[ykgJp2]	+	[ICWHO]
RpoE	ykgL[ykgLp1]	+	[ICWHO]
RpoE	ymdB-clsC[ymdBp4]	+	[ICWHO]
RpoE	ymfI[ymfIp1]	+	[ICWHO]
RpoE	ymfJ[ymfJp9]	+	[ICWHO]
RpoE	ymgE[ymgEp6]	+	[ICWHO]
RpoE	ymgF[ymgFp1]	+	[ICWHO]
RpoE	yneE[yneEp5]	+	[ICWHO]
RpoE	yneF[yneFp7]	+	[ICWHO]
RpoE	ynfA[ynfAp7]	+	[ICWHO]
RpoE	ynfD[ynfDp6]	+	[ICWHO]
RpoE	ynfO-ydfO[ynfOp1]	+	[ICWHO]
RpoE	yniA[yniAp1]	+	[ICWHO]
RpoE	yniA[yniAp7]	+	[ICWHO]
RpoE	yniD[yniDp6]	+	[ICWHO]
RpoE	ynjI[ynjIp1]	+	[ICWHO]
RpoE	yoaC[yoaCp1]	+	[ICWHO]
RpoE	yoaH[yoaHp1]	+	[ICWHO]
RpoE	yodB[yodBp16]	+	[ICWHO]
RpoE	yohC[yohCp3]	+	[ICWHO]
RpoE	yohC[yohCp4]	+	[ICWHO]
