Protein	TU	Function	Evidence that supports the existence of the regulatory interaction
RpoH	yphB[yphBp3]	+	[ICWHO]
RpoH	ypjD[ypjDp4]	+	[ICWHO]
RpoH	ypjM_1M_2[ypjMp]	+	"[IDA, IEP]"
RpoH	yqeC[yqeCp5]	+	[ICWHO]
RpoH	yqeG[yqeGp8]	+	[ICWHO]
RpoH	yqgB[yqgBp4]	+	[ICWHO]
RpoH	yqgEF[yqgEp3]	+	[ICWHO]
RpoH	yqhA[yqhAp7]	+	[ICWHO]
RpoH	yqhH[yqhHp4]	+	[ICWHO]
RpoH	yqjF[yqjFp3]	+	[ICWHO]
RpoH	yqjF[yqjFp4]	+	[ICWHO]
RpoH	yrdA[yrdAp]	+	"[IDA, IEP]"
RpoH	yrfG-hslR[yrfGp]	+	"[IDA, IEP]"
RpoH	zur[zurp7]	+	[ICWHO]
RpoH	rsmD-yhhL[rsmDp2]	+	[ICWHO]
RpoH	can[canp]	+	"[AIPP, HTTIM, IDA, RS-EPT-CBR]"
RpoH	clpB[clpBp]	+	"[AIPP, HIPP, IDA, IEP, RS-EPT-CBR, TIM]"
RpoH	glnS[glnSp2]	+	[IDA]
RpoH	groSL[groSp]	+	"[AIPP, HIPP, IDA, IEP, RS-EPT-CBR]"
RpoH	hepA[hepAp2]	+	"[HIPP, IDA, IEP, RS-EPT-CBR, TIM]"
RpoH	lon[lonp]	+	"[HIPP, IDA, IEP, RS-EPT-CBR]"
RpoH	mlc-ynfK[mlcp2]	+	"[AIPP, TIM]"
RpoH	rrsA-ileT-alaT-rrlA-rrfA[rrsAp1]	+	[HIPP]
RpoH	rrsB-gltT-rrlB-rrfB[rrsBp1]	+	"[HIPP, TIM]"
RpoH	rrsC-gltU-rrlC-rrfC[rrsCp1]	+	"[AIPP, HIPP]"
RpoH	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp1]	+	"[HIPP, TIM]"
RpoH	rrsE-gltV-rrlE-rrfE[rrsEp]	+	[HIPP]
RpoH	rrsG-gltW-rrlG-rrfG[rrsGp1]	+	[HIPP]
RpoH	rrsH-ileV-alaV-rrlH-rrfH[rrsHp1]	+	"[HTTIM, HIPP]"
RpoH	xerD-dsbC-recJ[xerDp]	+	"[HIPP, IDA]"
RpoH	ybeD-lipB[ybeDp]	+	"[HIPP, IDA, IEP, RS-EPT-CBR]"
RpoH	yceJI[yceJp]	+	"[AIPP, IDA]"
RpoH	yciSM-pyrF-yciH[yciSp]	+	"[AIPP, IDA, IEP, TIM]"
RpoN	rsmD-yhhL[rsmDp2]	+	[ICWHO]
RpoD	can[canp]	+	"[AIPP, HTTIM, IDA, RS-EPT-CBR]"
RpoD	clpB[clpBp]	+	"[AIPP, HIPP, IDA, IEP, RS-EPT-CBR, TIM]"
RpoD	glnS[glnSp2]	+	[IDA]
RpoD	groSL[groSp]	+	"[AIPP, HIPP, IDA, IEP, RS-EPT-CBR]"
RpoD	hepA[hepAp2]	+	"[HIPP, IDA, IEP, RS-EPT-CBR, TIM]"
RpoD	lon[lonp]	+	"[HIPP, IDA, IEP, RS-EPT-CBR]"
RpoD	mlc-ynfK[mlcp2]	+	"[AIPP, TIM]"
RpoD	rrsA-ileT-alaT-rrlA-rrfA[rrsAp1]	+	[HIPP]
RpoD	rrsB-gltT-rrlB-rrfB[rrsBp1]	+	"[HIPP, TIM]"
RpoD	rrsC-gltU-rrlC-rrfC[rrsCp1]	+	"[AIPP, HIPP]"
RpoD	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp1]	+	"[HIPP, TIM]"
RpoD	rrsE-gltV-rrlE-rrfE[rrsEp]	+	[HIPP]
RpoD	rrsG-gltW-rrlG-rrfG[rrsGp1]	+	[HIPP]
RpoD	rrsH-ileV-alaV-rrlH-rrfH[rrsHp1]	+	"[HTTIM, HIPP]"
RpoD	xerD-dsbC-recJ[xerDp]	+	"[HIPP, IDA]"
RpoD	ybeD-lipB[ybeDp]	+	"[HIPP, IDA, IEP, RS-EPT-CBR]"
RpoD	yceJI[yceJp]	+	"[AIPP, IDA]"
RpoD	yciSM-pyrF-yciH[yciSp]	+	"[AIPP, IDA, IEP, TIM]"
RpoS	ddpXABCDF[ddpXp3]	+	[HIPP]
RpoS	dhaKLM[dhaKp]	+	[AIPP]
RpoS	dhaR[dhaRp]	+	[AIPP]
RpoS	dkgB[dkgBp]	+	[AIPP]
RpoS	dsrB[dsrBp5]	+	[ICWHO]
RpoS	ecnB[ecnBp]	+	[TIM]
RpoS	ettA[yjjKp11]	+	[ICWHO]
RpoS	evgAS[evgAp1]	+	"[RS-EPT-CBR, TIM]"
RpoS	fadL[fadLp]	+	"[HIPP, TIM]"
RpoS	fbaB[fbaBp]	+	"[AIPP, TIM]"
RpoS	fic[ficp]	+	"[HIPP, RS-EPT-CBR]"
RpoS	fliY[fliYp]	+	"[IEP, IMP]"
RpoS	ftsB[ftsBp]	+	[AIPP]
RpoS	ftsQ[ftsQp2]	+	"[HIPP, TIM]"
RpoS	fumC[fumCp]	+	[TIM]
RpoS	gabDTP[gabDp2]	+	"[HIPP, TIM]"
RpoS	gadE[gadEp1]	+	"[IEP, TIM]"
RpoS	gadE-mdtEF[gadEp]	+	[TIM]
RpoS	gadX[gadXp]	+	"[HIPP, TIM]"
RpoS	gadXW[gadXp]	+	"[HIPP, TIM]"
RpoS	gadY[gadYp]	+	"[AIPP, IMP, TIM]"
RpoS	glgCAP[glgCp3]	+	[TIM]
RpoS	glgS[glgSp1]	+	"[HIPP, TIM]"
RpoS	glgS[glgSp2]	+	[TIM]
RpoS	glpX[glpXp2]	+	[ICWHO]
RpoS	glyS[glySp4]	+	[ICWHO]
RpoS	gmr[gmrp]	+	"[HIPP, TIM]"
RpoS	gpmM-envC-yibQ[gpmMp2]	+	[HTTIM]
RpoS	hchA[hchAp2]	+	[TIM]
RpoS	hdfR[hdfRp]	+	[IHBCE]
RpoS	hmp[hmpAp]	+	"[FP, HIPP, TIM, CV(FP/TIM)]"
RpoS	hofMNOP[hofMp]	+	[AIPP]
RpoS	hrpB[hrpBp2]	+	[ICWHO]
RpoS	ihfA[ihfAp4]	+	"[HIPP, TIM]"
RpoS	insC-5CD-5D-5-yqiGHI[insC-5p]	+	[HTTIM]
RpoS	insN-1I-1O-1[insN-1p]	+	[HTTIM]
RpoS	katE[katEp]	+	"[IMP, TIM]"
RpoS	ldcC[ldcCp]	+	"[IMP, TAS]"
RpoS	lpxM[lpxMp4]	+	[ICWHO]
RpoS	lsrACDBFG-tam[lsrAp]	+	[AIPP]
RpoS	luxS[luxSp1]	+	"[HIPP, TIM]"
RpoS	mdtABCD-baeSR[mdtAp]	+	[AIPP]
RpoS	msyB[msyBp]	+	[TIM]
RpoS	mutS[mutSp]	+	[TIM]
RpoS	narU[narUp2]	+	[HIPP]
RpoS	nhaAR[nhaAp2]	+	[TIM]
RpoS	osmB[osmBp1]	+	[TIM]
RpoS	osmC[osmCp2]	+	"[HIPP, TIM]"
RpoS	osmF-yehYXW[osmFp]	+	"[RS-EPT-CBR, TIM]"
RpoS	otsA[otsAp]	+	"[HIPP, TIM]"
RpoS	otsBA[otsBp]	+	"[HIPP, TIM]"
RpoS	otsBA[otsBp2]	+	"[RS-EPT-CBR, TIM]"
RpoS	panZ[panZp7]	+	"[ICWHO, RS-EPT-CBR]"
RpoS	pcnB-folK[pcnBp4]	+	[TIM]
RpoS	pfkB[pfkBp1]	+	"[HIPP, TIM]"
RpoS	pfkB[pfkBp2]	+	[TIM]
RpoS	ppk-ppx[ppkp]	+	[HTTIM]
RpoS	proP[proPp2]	+	"[HIPP, TIM]"
RpoS	puuAP[puuAp]	+	"[AIPP, IMP, TIM]"
RpoS	puuCBE[puuCp]	+	[HTTIM]
RpoS	puuDRCBE[puuDp]	+	"[HTTIM, IMP, TIM]"
RpoS	rhlE[rhlEp5]	+	[ICWHO]
RpoS	rraA[rraAp]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoS	rsd[rsdp1]	+	"[HIPP, TIM]"
RpoS	rssAB[rssAp]	+	"[IMP, RS-EPT-CBR, TIM]"
RpoS	rssB[rssBp]	+	"[HIPP, TIM]"
RpoS	slyD[slyDp7]	+	[ICWHO]
RpoS	sodC[sodCp]	+	"[HTTIM, TIM]"
RpoS	speB[speBp]	+	"[HIPP, TIM]"
RpoS	speC[speCp]	+	"[AIPP, HIPP]"
RpoS	sra[srap]	+	[TIM]
RpoS	sucAB[sucAp]	+	[TIM]
RpoS	sucABCD[sucAp]	+	[TIM]
RpoS	talA-tktB[talAp1]	+	[TIM]
RpoS	talA-tktB[talAp2]	+	[TIM]
RpoS	tam[tamp]	+	"[HTTIM, IEP]"
RpoS	tktB[tktBp]	+	[HIPP]
RpoS	tolC-ygiABC[tolCp4]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoS	treA[treAp]	+	"[HIPP, IMP, TIM]"
RpoS	treF[treFp]	+	[HTTIM]
RpoS	uspB[uspBp]	+	"[HIPP, TIM]"
RpoS	wrbA-yccJ[wrbAp]	+	"[HTTIM, RS-EPT-CBR]"
RpoS	xthA[xthAp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoS	yabI[yabIp]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoS	yadE[yadEp4]	+	[ICWHO]
RpoS	yadV-htrE[yadVp2]	+	"[HIPP, TIM]"
RpoS	ybgA-phr[ybgAp1]	+	"[RS-EPT-CBR, TIM]"
RpoS	ybgA-phr[ybgAp2]	+	[TIM]
RpoS	ybhB[ybhBp4]	+	[ICWHO]
RpoS	ybiI[ybiIp6]	+	[ICWHO]
RpoS	ybjP[ybjPp]	+	[TIM]
RpoS	ychE[ychEp8]	+	[ICWHO]
RpoS	yciG[yciGp]	+	"[AIPP, HIPP]"
RpoS	yciGFE[yciGp]	+	"[AIPP, HIPP]"
RpoS	yciT[yciTp]	+	[HTTIM]
RpoS	yciZT[yciZp]	+	[TIM]
RpoS	ydbD[ydbDp]	+	"[AIPP, IEP]"
RpoS	ydcSTUV-patD[ydcSp1]	+	[HIPP]
RpoS	yddG[yddGp]	+	[TIM]
RpoS	ydhYVWXUT[ydhYp]	+	[TIM]
RpoS	yegS[yegSp8]	+	[ICWHO]
RpoS	yeiL[yeiLp]	+	"[HIPP, TIM]"
RpoS	yffOP[yffOp]	+	[HTTIM]
RpoS	ygaU[ygaUp4]	+	[ICWHO]
RpoS	yggE[yggEp1]	+	"[RS-EPT-CBR, TIM]"
RpoS	yggE[yggEp2]	+	[TIM]
RpoS	yhaJ[yhaJp7]	+	[ICWHO]
RpoS	yhhT[yhhTp4]	+	[ICWHO]
RpoS	yhiM[yhiMp]	+	[AIPP]
RpoS	yhjG[yhjGp]	+	"[HTTIM, IEP]"
RpoS	yiaG[yiaGp]	+	[TIM]
RpoS	yigM[yigMp3]	+	[ICWHO]
RpoS	yihG[yihGp]	+	"[HIPP, TIM]"
RpoS	yjcC[yjcCp]	+	[HTTIM]
RpoS	yjiY[yjiYp]	+	[TIM]
RpoS	yobB-exoX[yobBp8]	+	[ICWHO]
RpoS	ytfK[ytfKp]	+	"[RS-EPT-CBR, TIM]"
RpoS	znuA[znuAp]	+	[AIPP]
RpoS	ydjO[ydjOp4]	+	[ICWHO]
RpoS	aceEF[aceEp]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoS	acnA[acnAp1]	+	"[HIPP, TIM]"
RpoS	acs-yjcH-actP[acsp2]	+	"[AIPP, HTTIM]"
RpoS	ada-alkB[adap]	+	[TIM]
RpoS	adhE[adhEp1]	+	"[IMP, TIM]"
RpoS	aidB[aidBp]	+	[TIM]
RpoS	alkA[alkAp]	+	"[FP, RS-EPT-CBR, CV(FP/RS-EPT-CBR)]"
RpoS	appCBXA[appCp]	+	[HIPP]
RpoS	araFGH[araFp]	+	[TIM]
RpoS	arrS[arrSp]	+	[HIPP]
RpoS	asr[asrp]	+	"[IMP, TIM]"
RpoS	bolA[bolAp1]	+	"[AIPP, FP, RS-EPT-CBR, TIM, CV(FP/RS-EPT-CBR), CV(FP/TIM)]"
RpoS	cbpAM[cbpAp6]	+	[TIM]
RpoS	cfa[cfap1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoS	csgBAC[csgBp]	+	"[FP, TIM, CV(FP/TIM)]"
RpoS	csgDEFG[csgDp1]	+	[TIM]
RpoS	csgDEFG[csgDp2]	+	[TIM]
RpoS	csiE[csiEp]	+	"[HIPP, TIM]"
RpoS	csrA[csrAp1]	+	"[HIPP, TIM]"
RpoS	dinB-yafNOP[dinBp]	+	[AIPP]
RpoS	dnaN-recF[dnaNp1]	+	"[HIPP, TIM]"
RpoS	dnaN-recF[dnaNp2]	+	"[HIPP, TIM]"
RpoS	dnaN-recF[dnaNp4]	+	"[HIPP, TIM]"
RpoS	dps[dpsp]	+	"[RS-EPT-CBR, TIM]"
RpoS	eno[enop4]	+	"[HTTIM, RS-EPT-CBR]"
RpoS	eno[enop7]	+	[HTTIM]
RpoS	epd-pgk[epdp]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoS	epd-pgk-fbaA[epdp]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoS	frdABCD[frdAp]	+	[TIM]
RpoS	ftsQAZ[ftsQp1]	+	"[HIPP, TIM]"
RpoS	gabDTP[gabDp1]	+	"[HIPP, TIM]"
RpoS	gadAX[gadAp]	+	"[HIPP, TIM]"
RpoS	gadBC[gadBp]	+	"[HIPP, TIM]"
RpoS	galETKM[galEp1]	+	"[FP, TIM, CV(FP/TIM)]"
RpoS	gapA[gapAp1]	+	"[HTTIM, HIPP, IMP, RS-EPT-CBR, TIM]"
RpoS	glk[glkp]	+	"[HTTIM, HIPP]"
RpoS	glk[glkp1]	+	"[HTTIM, RS-EPT-CBR]"
RpoS	gor[gorp]	+	[AIPP]
RpoS	gpmA[gpmAp]	+	"[AIPP, HTTIM, RS-EPT-CBR]"
RpoS	gpmA[gpmAp2]	+	"[HTTIM, RS-EPT-CBR]"
RpoS	gyrB[gyrBp]	+	"[HIPP, IMP, TIM]"
RpoS	hdeAB-yhiD[hdeAp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoS	hyaABCDEF[hyaAp]	+	"[HIPP, IMP, TIM]"
RpoS	ihfB[ihfBp]	+	"[HIPP, TIM]"
RpoS	ilvY[ilvYp]	+	"[HIPP, IEP, IMP, TIM]"
RpoS	iraD[iraDp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoS	mdtK[mdtKp9]	+	[ICWHO]
RpoS	mglBAC[mglBp]	+	"[HIPP, IMP]"
RpoS	mlrA[mlrAp]	+	"[HIPP, TIM]"
RpoS	mpl[mplp1]	+	[HIPP]
RpoS	mtn-btuF-yadS[mtnp]	+	"[HIPP, TIM]"
RpoS	murQP[murQp1]	+	"[RS-EPT-CBR, TIM]"
RpoS	murR[murRp]	+	[TIM]
RpoS	osmB[osmBp2]	+	"[HIPP, TIM]"
RpoS	osmE[osmEp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoS	osmY[osmYp]	+	"[HIPP, TIM]"
RpoS	oxyR[oxyRp]	+	"[HIPP, TIM]"
RpoS	pcnB-folK[pcnBp3]	+	"[HIPP, TIM]"
RpoS	pdhR-aceEF-lpd[pdhRp]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoS	pfkA[pfkAp2]	+	"[HTTIM, HIPP, RS-EPT-CBR]"
RpoS	pfkA[pfkAp1]	+	[HTTIM]
RpoS	pgi[pgip]	+	"[HTTIM, HIPP, TIM]"
RpoS	poxB[poxBp]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoS	pqiAB[pqiAp1]	+	"[HIPP, TIM]"
RpoS	pqiAB[pqiAp2]	+	"[HIPP, TIM]"
RpoS	proVWX[proVp1]	+	[TIM]
RpoS	pstB-phoU[pstBp1]	+	"[HIPP, IMP, TIM]"
RpoS	pstCAB-phoU[pstCp]	+	"[HIPP, IMP, TIM]"
RpoS	pstS[pstSp]	+	"[HIPP, TIM]"
RpoS	pstSCA[pstSp]	+	"[HIPP, TIM]"
RpoS	pstSCAB-phoU[pstSp]	+	"[HIPP, TIM]"
RpoS	pykA[pykAp1]	+	"[HTTIM, RS-EPT-CBR]"
RpoS	pykA[pykAp2]	+	"[HTTIM, RS-EPT-CBR]"
RpoS	pykF[pykFp1]	+	[HTTIM]
RpoS	pykF[pykFp2]	+	"[HTTIM, RS-EPT-CBR]"
RpoS	rhaSR[rhaSp]	+	[TIM]
RpoS	rpoH[rpoHp1]	+	"[HIPP, TIM]"
RpoS	sgrST-setA[sgrSp]	+	"[AIPP, TIM]"
RpoS	sohB[sohBp1]	+	[HIPP]
RpoS	ssrS[ssrSp2]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoS	ssrS-fau[ssrSp2]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoS	topA[topAp5]	+	"[HIPP, TIM]"
RpoS	tpiA[tpiAp2]	+	"[HTTIM, RS-EPT-CBR]"
RpoS	xapAB[xapAp]	+	"[HIPP, TIM]"
RpoS	ycgZ-ymgA-ariR-ymgC[ycgZp]	+	"[HIPP, TIM]"
RpoS	yegQ[yegQp1]	+	[ICWHO]
RpoS	ynfEFGH-dmsD[ynfEp]	+	"[AIPP, FP]"
RpoS	cyaR[cyaRp]	+	"[AIPP, HTTIM, RS-EPT-CBR, TIM]"
RpoH	ydjO[ydjOp4]	+	[ICWHO]
RpoD	aceEF[aceEp]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoD	acnA[acnAp1]	+	"[HIPP, TIM]"
RpoD	acs-yjcH-actP[acsp2]	+	"[AIPP, HTTIM]"
RpoD	ada-alkB[adap]	+	[TIM]
RpoD	adhE[adhEp1]	+	"[IMP, TIM]"
RpoD	aidB[aidBp]	+	[TIM]
RpoD	alkA[alkAp]	+	"[FP, RS-EPT-CBR, CV(FP/RS-EPT-CBR)]"
RpoD	appCBXA[appCp]	+	[HIPP]
RpoD	araFGH[araFp]	+	[TIM]
RpoD	arrS[arrSp]	+	[HIPP]
RpoD	asr[asrp]	+	"[IMP, TIM]"
RpoD	bolA[bolAp1]	+	"[AIPP, FP, RS-EPT-CBR, TIM, CV(FP/RS-EPT-CBR), CV(FP/TIM)]"
RpoD	cbpAM[cbpAp6]	+	[TIM]
RpoD	cfa[cfap1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	csgBAC[csgBp]	+	"[FP, TIM, CV(FP/TIM)]"
RpoD	csgDEFG[csgDp1]	+	[TIM]
RpoD	csgDEFG[csgDp2]	+	[TIM]
RpoD	csiE[csiEp]	+	"[HIPP, TIM]"
RpoD	csrA[csrAp1]	+	"[HIPP, TIM]"
RpoD	dinB-yafNOP[dinBp]	+	[AIPP]
RpoD	dnaN-recF[dnaNp1]	+	"[HIPP, TIM]"
RpoD	dnaN-recF[dnaNp2]	+	"[HIPP, TIM]"
RpoD	dnaN-recF[dnaNp4]	+	"[HIPP, TIM]"
RpoD	dps[dpsp]	+	"[RS-EPT-CBR, TIM]"
RpoD	eno[enop4]	+	"[HTTIM, RS-EPT-CBR]"
RpoD	eno[enop7]	+	[HTTIM]
RpoD	epd-pgk[epdp]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoD	epd-pgk-fbaA[epdp]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoD	frdABCD[frdAp]	+	[TIM]
RpoD	ftsQAZ[ftsQp1]	+	"[HIPP, TIM]"
RpoD	gabDTP[gabDp1]	+	"[HIPP, TIM]"
RpoD	gadAX[gadAp]	+	"[HIPP, TIM]"
RpoD	gadBC[gadBp]	+	"[HIPP, TIM]"
RpoD	galETKM[galEp1]	+	"[FP, TIM, CV(FP/TIM)]"
RpoD	gapA[gapAp1]	+	"[HTTIM, HIPP, IMP, RS-EPT-CBR, TIM]"
RpoD	glk[glkp]	+	"[HTTIM, HIPP]"
RpoD	glk[glkp1]	+	"[HTTIM, RS-EPT-CBR]"
RpoD	gor[gorp]	+	[AIPP]
RpoD	gpmA[gpmAp]	+	"[AIPP, HTTIM, RS-EPT-CBR]"
RpoD	gpmA[gpmAp2]	+	"[HTTIM, RS-EPT-CBR]"
RpoD	gyrB[gyrBp]	+	"[HIPP, IMP, TIM]"
RpoD	hdeAB-yhiD[hdeAp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	hyaABCDEF[hyaAp]	+	"[HIPP, IMP, TIM]"
RpoD	ihfB[ihfBp]	+	"[HIPP, TIM]"
RpoD	ilvY[ilvYp]	+	"[HIPP, IEP, IMP, TIM]"
RpoD	iraD[iraDp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	mdtK[mdtKp9]	+	[ICWHO]
RpoD	mglBAC[mglBp]	+	"[HIPP, IMP]"
RpoD	mlrA[mlrAp]	+	"[HIPP, TIM]"
RpoD	mpl[mplp1]	+	[HIPP]
RpoD	mtn-btuF-yadS[mtnp]	+	"[HIPP, TIM]"
RpoD	murQP[murQp1]	+	"[RS-EPT-CBR, TIM]"
RpoD	murR[murRp]	+	[TIM]
RpoD	osmB[osmBp2]	+	"[HIPP, TIM]"
RpoD	osmE[osmEp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	osmY[osmYp]	+	"[HIPP, TIM]"
RpoD	oxyR[oxyRp]	+	"[HIPP, TIM]"
RpoD	pcnB-folK[pcnBp3]	+	"[HIPP, TIM]"
RpoD	pdhR-aceEF-lpd[pdhRp]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoD	pfkA[pfkAp2]	+	"[HTTIM, HIPP, RS-EPT-CBR]"
RpoD	pfkA[pfkAp1]	+	[HTTIM]
RpoD	pgi[pgip]	+	"[HTTIM, HIPP, TIM]"
RpoD	poxB[poxBp]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoD	pqiAB[pqiAp1]	+	"[HIPP, TIM]"
RpoD	pqiAB[pqiAp2]	+	"[HIPP, TIM]"
RpoD	proVWX[proVp1]	+	[TIM]
RpoD	pstB-phoU[pstBp1]	+	"[HIPP, IMP, TIM]"
RpoD	pstCAB-phoU[pstCp]	+	"[HIPP, IMP, TIM]"
RpoD	pstS[pstSp]	+	"[HIPP, TIM]"
RpoD	pstSCA[pstSp]	+	"[HIPP, TIM]"
RpoD	pstSCAB-phoU[pstSp]	+	"[HIPP, TIM]"
RpoD	pykA[pykAp1]	+	"[HTTIM, RS-EPT-CBR]"
RpoD	pykA[pykAp2]	+	"[HTTIM, RS-EPT-CBR]"
RpoD	pykF[pykFp1]	+	[HTTIM]
RpoD	pykF[pykFp2]	+	"[HTTIM, RS-EPT-CBR]"
RpoD	rhaSR[rhaSp]	+	[TIM]
RpoD	rpoH[rpoHp1]	+	"[HIPP, TIM]"
RpoD	sgrST-setA[sgrSp]	+	"[AIPP, TIM]"
RpoD	sohB[sohBp1]	+	[HIPP]
RpoD	ssrS[ssrSp2]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoD	ssrS-fau[ssrSp2]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoD	topA[topAp5]	+	"[HIPP, TIM]"
RpoD	tpiA[tpiAp2]	+	"[HTTIM, RS-EPT-CBR]"
RpoD	xapAB[xapAp]	+	"[HIPP, TIM]"
RpoD	ycgZ-ymgA-ariR-ymgC[ycgZp]	+	"[HIPP, TIM]"
RpoD	yegQ[yegQp1]	+	[ICWHO]
RpoD	ynfEFGH-dmsD[ynfEp]	+	"[AIPP, FP]"
RpoD	cyaR[cyaRp]	+	"[AIPP, HTTIM, RS-EPT-CBR, TIM]"
RpoE	cyaR[cyaRp]	+	"[AIPP, HTTIM, RS-EPT-CBR, TIM]"
RpoN	acrD[acrDp2]	+	"[HIPP, IEP]"
RpoN	actP[actPp]	+	"[HIPP, IEP]"
RpoN	argT-hisJQMP[argTp]	+	[AIPP]
RpoN	aslB[aslBp]	+	"[AIPP, IEP]"
RpoN	astCADBE[astCp2]	+	"[FP, HIPP, TIM, CV(FP/TIM)]"
RpoN	atoDAEB[atoDp]	+	"[AIPP, IMP]"
RpoN	chaC[chaCp]	+	"[AIPP, IEP]"
RpoN	crl[crlp2]	+	"[HIPP, IEP]"
RpoN	dcuD[dcuDp2]	+	[HIPP]
RpoN	ddpXABCDF[ddpXp]	+	"[AIPP, HIPP, IEP]"
RpoN	efeOB[efeOp2]	+	[ICWHO]
RpoN	emrD[emrDp]	+	"[HIPP, IEP]"
RpoN	fdhF[fdhFp]	+	[TIM]
RpoN	ffs[ffsp5]	+	[ICWHO]
RpoN	flhDC[flhDp2]	+	"[HIPP, IEP]"
RpoN	glmY[glmYp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoN	glnA[glnAp2]	+	[TIM]
RpoN	glnALG[glnAp2]	+	[TIM]
RpoN	glnHPQ[glnHp2]	+	"[RS-EPT-CBR, TIM]"
RpoN	glnK-amtB[glnKp]	+	"[AIPP, HIPP]"
RpoN	gltI-sroC-gltJKL[gltIp]	+	[AIPP]
RpoN	hslO[hslOp4]	+	[ICWHO]
RpoN	htpG[htpGp3]	+	"[HIPP, IEP]"
RpoN	htrE[htrEp1]	+	[ICWHO]
RpoN	hycABCDEFGHI[hycAp]	+	"[RS-EPT-CBR, TIM]"
RpoN	hydN-hypF[hydNp]	+	"[HIPP, TIM]"
RpoN	hyfABCDEFGHIJR-focB[hyfAp]	+	"[HIPP, TIM]"
RpoN	hypABCDE[hypAp]	+	[TIM]
RpoN	hypABCDE-fhlA[hypAp]	+	[TIM]
RpoN	ibpB[ibpBp]	+	[TIM]
RpoN	insH-3[insHp6]	+	[ICWHO]
RpoN	iscX[iscXp3]	+	[ICWHO]
RpoN	ispF[ispFp3]	+	[ICWHO]
RpoN	kch[kchp]	+	[AIPP]
RpoN	mcrC[mcrCp5]	+	[ICWHO]
RpoN	nac[nacp]	+	"[HIPP, TIM]"
RpoN	nikABCDER[nikAp2]	+	"[HIPP, IEP]"
RpoN	norVW[norVp]	+	"[AIPP, HIPP, IEP, TIM]"
RpoN	ompL[ompLp1]	+	[ICWHO]
RpoN	pabB-nudL[pabBp6]	+	[ICWHO]
RpoN	pabB-nudL[pabBp7]	+	[ICWHO]
RpoN	patA[patAp]	+	"[AIPP, TIM]"
RpoN	pgpB[pgpBp9]	+	[ICWHO]
RpoN	pinE[pinEp3]	+	[ICWHO]
RpoN	potFGHI[potFp1]	+	[AIPP]
RpoN	ppk-ppx[ppkp6]	+	[ICWHO]
RpoN	prpBCDE[prpBp]	+	[AIPP]
RpoN	pspABCDE[pspAp]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoN	pspG[pspGp]	+	"[FP, ICA]"
RpoN	puuP[puuPp]	+	"[AIPP, HIPP, IEP]"
RpoN	rayT[rayTp1]	+	[ICWHO]
RpoN	rfaE[rfaEp1]	+	[ICWHO]
RpoN	rhaD[rhaDp]	+	"[HIPP, IEP]"
RpoN	rpoH[rpoHp6]	+	"[FP, HIPP, TIM, CV(FP/TIM)]"
RpoN	rsmC[rsmCp1]	+	[ICWHO]
RpoN	rtcBA[rtcBp]	+	"[HIPP, TIM]"
RpoN	rtcR[rtcRp]	+	[HIPP]
RpoN	rutABCDEFG[rutAp]	+	"[AIPP, HIPP, IEP]"
RpoN	rydB[rydBp1]	+	[ICWHO]
RpoN	tmcA[tmcAp5]	+	[ICWHO]
RpoN	tus[tusp2]	+	[ICWHO]
RpoN	typA[typAp1]	+	[ICWHO]
RpoN	xdhABC[xdhAp2]	+	"[HIPP, IEP, TIM]"
RpoN	yaaU[yaaUp]	+	"[HIPP, IEP]"
RpoN	yahE[yahEp]	+	"[HIPP, IEP]"
