TF	TU	Function	Evidence that supports the existence of the regulatory interaction
CRP	trg[trgp1]	+	"[AIBSCS, BPP]"
CRP	trxA[trxAp1]	-	"[BPP, GEA]"
CRP	tsx[tsxp2]	+-	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
CRP	ubiG[ubiGp]	+	[GEA]
CRP	udp[udpP]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	ugpBAECQ[ugpBp2]	+	"[BPP, HIBSCS]"
CRP	uhpT[uhpTp]	+	"[BCE, BPP, GEA, HIBSCS, SM]"
CRP	uidABC[uidAp]	+	"[GEA, HIBSCS]"
CRP	ulaABCDEF[ulaAp]	+	"[BCE, GEA, SM]"
CRP	uxaB[uxaBp]	+	[HIBSCS]
CRP	uxaCA[uxaCp]	+	[HIBSCS]
CRP	uxuAB[uxuAp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
CRP	uxuR[uxuRp]	+	"[GEA, HIBSCS]"
CRP	xseA[xseAp]	-	"[BPP, GEA, SM]"
CRP	xylAB[xylAp]	+	"[AIBSCS, GEA, HIBSCS]"
CRP	xylFGHR[xylFp]	+	"[AIBSCS, GEA, HIBSCS]"
CRP	yaeP-rof[yaePp]	-	"[GEA, HIBSCS]"
CRP	yaeQ-arfB-nlpE[yaeQp]	-	"[GEA, HIBSCS]"
CRP	ybiS[ybisp]	-	"[AIBSCS, GEA]"
CRP	ybiT[ybiTp]	+	"[AIBSCS, GEA, HIBSCS]"
CRP	ycdZ[ycdZp4]	+	[AIBSCS]
CRP	ychH[ychHp]	+	"[AIBSCS, BCE, GEA, SM]"
CRP	yeiP[yeiPp]	+	"[AIBSCS, GEA]"
CRP	yeiW[yeiWp]	+	"[AIBSCS, GEA, HIBSCS]"
CRP	yhfA[yhfAp]	+	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
CRP	yiaJ[yiaJp]	-	"[BPP, GEA, HIBSCS]"
CRP	yiaKLMNO-lyxK-sgbHUE[yiaKp]	+	"[BPP, GEA, HIBSCS]"
CRP	yjiY[yjiYp]	+	"[AIBSCS, GEA, SM]"
CRP	ykgR[ykgRp]	+	"[GEA, HIBSCS]"
CRP	zraSR[zraSp]	+	"[AIBSCS, GEA]"
CadC	cadBA[cadBp]	+	"[BPP, GEA]"
CadC	cadC[cadCp]	+	[GEA]
CaiF	caiTABCDE[caiTp]	+	"[BPP, GEA, HIBSCS]"
CaiF	fixABCX[fixAp]	+	"[BPP, GEA, HIBSCS]"
Cbl	ssuEADCB[ssuEp]	+	"[BPP, GEA]"
Cbl	tauABCD[tauAp]	+	"[BPP, GEA]"
CdaR	cdaR[cdaRp]	+	[GEA]
CdaR	garD[garDp]	+	[GEA]
CdaR	garPLRK-rnpB[garPp]	+	[GEA]
CdaR	gudPXD[gudPp]	+	[GEA]
ChbR	chbBCARFG[chbBp]	+-	"[BPP, GEA]"
ComR	bhsA[bhsAp]	-	"[BPP, GEA]"
CpxR	acrD[acrDp2]	+	"[BPP, GEA, IC]"
CpxR	aroG[aroGp]	+	"[BPP, HIBSCS]"
CpxR	bacA[bacAp]	+	[ICA]
CpxR	bamE[bamEp]	-	[ICA]
CpxR	cpxP[cpxPp]	+	"[BPP, GEA, HIBSCS]"
CpxR	cpxRA[cpxRp]	+	"[BPP, GEA, HIBSCS]"
CpxR	csgBAC[csgBp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
CpxR	csgDEFG[csgDp1]	-	"[BPP, GEA, HIBSCS]"
CpxR	degP[degPp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
CpxR	dgcZ[dgcZp]	+	"[BPP, GEA, HIBSCS]"
CpxR	dsbC[dsbCp]	+	"[GEA, HIBSCS]"
CpxR	efeU_1U_2[efeU_1p]	-	"[BPP, GEA, HIBSCS]"
CpxR	ftnB[ftnBp2]	+	"[BPP, HIBSCS]"
CpxR	hlpA-lpxD-fabZ-lpxA[hlpAp]	+	"[GEA, HIBSCS]"
CpxR	mdtABCD-baeSR[mdtAp]	+	"[BPP, GEA, IC]"
CpxR	motAB-cheAW[motAp]	-	"[BPP, GEA]"
CpxR	ompC[ompCp1]	+	"[AIBSCS, BPP, GEA]"
CpxR	ompF[ompFp]	-	"[AIBSCS, BPP, GEA]"
CpxR	ppiA[ppiAp1]	+	"[BPP, GEA, HIBSCS]"
CpxR	ppiD[ppiDp2]	+	"[HIBSCS, SM]"
CpxR	psd-mscM[psdp]	-	[ICA]
CpxR	rdoA-dsbA[rdoAp]	+	"[BPP, GEA, HIBSCS]"
CpxR	rpoE-rseABC[rpoEp1]	-	"[AIBSCS, GEA]"
CpxR	rpoH[rpoHp1]	+	[GEA]
CpxR	sbmA-yaiW[sbmAp]	+	"[AIBSCS, GEA]"
CpxR	slt[sltp7]	+	"[AIBSCS, GEA]"
CpxR	spy[spyp]	+	"[BPP, GEA, HIBSCS]"
CpxR	tomB-hha[tomBp1]	+	"[BPP, HIBSCS]"
CpxR	tsr[tsrp1]	-	[BPP]
CpxR	ung[ungp]	-	"[BCE, BPP]"
CpxR	yccA[yccAp]	+	"[BPP, GEA, HIBSCS]"
CpxR	ycfS[ycfSp]	+	"[BPP, HIBSCS]"
CpxR	yebE[yebEp]	+	"[BPP, GEA, HIBSCS]"
CpxR	ygaU[ygaUp4]	+	"[AIBSCS, GEA]"
CpxR	yidQ[yidQp]	+	"[GEA, HIBSCS]"
CpxR	yqaE[yqaEp]	+	"[AIBSCS, GEA]"
CpxR	yqjA-mzrA[yqjAp1]	+	"[BPP, HIBSCS]"
Cra	aceBAK[aceBp]	+	"[BPP, GEA, SM]"
Cra	acnA[acnAp2]	+	[GEA]
Cra	acnB[acnBp]	-	[GEA]
Cra	adhE[adhEp1]	-	"[BCE, GEA, ICWHO, SM]"
Cra	aroP[aroPp1]	+	"[AIBSCS, GEA]"
Cra	aroP[aroPp2]	+	"[AIBSCS, GEA, ICWHO]"
Cra	betIBA[betIp]	+	[GEA]
Cra	betT[betTp]	+	[GEA]
Cra	csgDEFG[csgDp1]	+	"[AIBSCS, BPP, GEA, SM]"
Cra	cydAB[cydAp5]	+	"[AIBSCS, BPP, GEA]"
Cra	cyoABCDE[cyoAp]	-	"[AIBSCS, GEA]"
Cra	edd-eda[eddp1]	-	"[BPP, GEA, HIBSCS, SM]"
Cra	eno[enop1]	-	"[BPP, GEA, HIBSCS]"
Cra	eno[enop2]	-	"[BPP, GEA, HIBSCS]"
Cra	eno[enop3]	-	"[BPP, GEA, HIBSCS]"
Cra	epd-pgk[epdp]	-	"[BPP, GEA, HIBSCS, SM]"
Cra	epd-pgk-fbaA[epdp]	-	"[BPP, GEA, HIBSCS, SM]"
Cra	fbaB[fbaBp]	-	"[AIBSCS, GEA]"
Cra	fruBKA[fruBp]	-	"[AIBSCS, GEA, NTAS]"
Cra	gapA[gapAp1]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Cra	gapA[gapAp3]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Cra	gapA[gapAp4]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Cra	gapA-yeaD[gapAp2]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Cra	glcC[glcCp]	-	"[AIBSCS, GEA]"
Cra	glk[glkp]	-	"[AIBSCS, GEA, HIBSCS]"
Cra	gpmM-envC-yibQ[gpmMp]	-	"[AIBSCS, GEA]"
Cra	hypF[hypFp2]	-	"[BPP, GEA, HIBSCS]"
Cra	hypF[hypFp3]	-	"[BPP, GEA, HIBSCS]"
Cra	icd[icdAp2]	+	[BPP]
Cra	manXYZ[manXp]	-	"[AIBSCS, GEA]"
Cra	marRAB[marRp]	-	"[AIBSCS, GEA]"
Cra	mpl[mplp1]	-	"[AIBSCS, GEA]"
Cra	mtlADR[mtlAp]	-	"[BPP, GEA]"
Cra	nirBDC-cysG[nirBp]	-	"[BCE, GEA, HIBSCS]"
Cra	pck[pckp]	+	"[BPP, GEA, HIBSCS, SM]"
Cra	pdhR-aceEF-lpd[pdhRp]	-	"[AIBSCS, GEA]"
Cra	pfkA[pfkAp2]	-	[BPP]
Cra	poxB[poxBp]	+	[GEA]
Cra	ppc[ppcp]	-	"[AIBSCS, GEA]"
Cra	ppsA[ppsp]	+	"[AIBSCS, BPP, GEA, ICWHO]"
Cra	prpBCDE[prpBp]	-	"[AIBSCS, GEA]"
Cra	ptsHI-crr[ptsHp2]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
Cra	ptsHI-crr[ptsHp1]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Cra	pykF[pykFp]	-	"[BCE, SM]"
Cra	sgrST-setA[sgrSp]	-	"[AIBSCS, GEA]"
Cra	tpiA[tpiAp2]	-	"[AIBSCS, GEA]"
Cra	yahA[yahAp1]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Cra	zwf[zwfp]	-	"[AIBSCS, GEA]"
CreB	creD[creDp]	+	"[AIBSCS, BPP, GEA]"
CreB	malEFG[malEp]	-	"[AIBSCS, GEA]"
CreB	talA[talAp]	+	"[AIBSCS, GEA]"
CsgD	adrA[adrAp]	+	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
CsgD	csgBAC[csgBp]	+	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
CsgD	csgDEFG[csgDp1]	+	"[BPP, GEA, HIBSCS]"
CsgD	fliE[fliEp]	-	"[BPP, GEA, HIBSCS]"
CsgD	fliE[fliEp1]	-	"[BPP, GEA, HIBSCS]"
CsgD	fliFGHIJK[fliFp1]	-	"[BPP, GEA, HIBSCS]"
CsgD	iraP[iraPp1]	+	[GEA]
CsgD	nlpA[nlpAp]	+	"[BPP, GEA, HIBSCS]"
CsgD	pepD[pepDp3]	-	"[AIBSCS, GEA]"
CsgD	wrbA-yccJ[wrbAp]	+	"[BPP, HIBSCS]"
CsgD	yccT[yccTp]	+	"[BPP, GEA, HIBSCS]"
CsgD	yhbTS[yhbTp2]	-	"[BPP, GEA, HIBSCS]"
CsiR	csiD-lhgO-gabDTP[csiDp]	-	[GEA]
CspA	gyrA[gyrAp]	+	[HIBSCS]
CspA	hns[hnsp]	+	[BPP]
CueR	copA[copAp]	+	"[BPP, HIBSCS, SM]"
CueR	cueO[cueOp]	+	"[BPP, GEA, HIBSCS]"
CueR	moaABCDE[moaAp1]	-	"[GEA, HIBSCS]"
CusR	cusCFBA[cusCp]	+	"[BPP, GEA, HIBSCS]"
CusR	cusRS[cusRp]	+	"[BPP, GEA, HIBSCS]"
CynR	cynR[cynRp]	-	"[BPP, HIBSCS]"
CynR	cynTS[cynTp]	+	"[BPP, GEA, HIBSCS]"
CynR	cynTSX[cynTp]	+	"[BPP, GEA, HIBSCS]"
CysB	cbl[cblp]	+	"[BPP, GEA]"
CysB	cysB[cysBp]	-	[HIBSCS]
CysB	cysDNC[cysDp]	+	[BCE]
CysB	cysJIH[cysJp]	+	[HIBSCS]
CysB	cysK[cysKp1]	+	"[HIBSCS, SM]"
CysB	cysPUWAM[cysPp]	+	"[BPP, GEA]"
CysB	hslJ[hslJp]	-	"[AIBSCS, BPP, GEA]"
CysB	ssuEADCB[ssuEp]	-	"[BPP, GEA]"
CysB	tauABCD[tauAp]	+	"[BPP, GEA]"
CytR	cdd[cddp]	-	"[BPP, GEA, HIBSCS, SM]"
CytR	cytR[cytRp]	-	"[BPP, GEA, HIBSCS, IC]"
CytR	deoCABD[deoCp2]	-	"[BPP, GEA, HIBSCS, SM]"
CytR	nupC[nupCp]	-	[TAS]
CytR	nupG[nupGp]	-	"[BPP, HIBSCS]"
CytR	ppiA[ppiAp2]	-	"[BPP, GEA, HIBSCS, IC]"
CytR	ppiA[ppiAp3]	-	"[BPP, GEA, HIBSCS, IC]"
CytR	ppiA[ppiAp4]	-	"[BPP, GEA, HIBSCS, IC]"
CytR	rpoH[rpoHp5]	-	"[BPP, GEA, HIBSCS]"
CytR	rpoH[rpoHp4]	-	"[BPP, GEA, HIBSCS]"
CytR	rpoH[rpoHp3]	-	"[BPP, GEA, HIBSCS]"
CytR	tsx[tsxp2]	-	"[BPP, GEA, HIBSCS, IHBCE, IC, SM]"
CytR	udp[udpP]	-	"[BPP, GEA, HIBSCS, SM]"
CytR	ycdZ[ycdZp4]	-	[AIBSCS]
Dan	ttdABT[ttdAp]	+	"[BPP, GEA, HIBSCS]"
Dan	ttdR[ttdRp]	+	[BPP]
DcuR	dctA[dctAp]	+	"[BPP, GEA]"
DcuR	dcuB-fumB[dcuBp2]	+	"[BPP, GEA]"
DcuR	dpiBA[dpiBp2]	+	"[BPP, HIBSCS]"
DcuR	frdABCD[frdAp]	+	"[BPP, GEA]"
DeoR	deoCABD[deoCp1]	-	"[HIBSCS, SM]"
DeoR	deoCABD[deoCp2]	-	"[HIBSCS, SM]"
DeoR	nupG[nupGp]	-	"[GEA, HIBSCS]"
DeoR	tsx[tsxp1]	-	"[BCE, GEA]"
DhaR	dhaKLM[dhaKp]	+	[GEA]
DhaR	dhaR[dhaRp]	-	[GEA]
DicA	dicB-ydfDE-insD-intQ[dicBp]	-	[GEA]
DicA	dicC-ydfXW[dicCp]	-	"[BPP, GEA, IHBCE]"
DinJ-YafQ	cspE[cspEp1]	-	"[BPP, GEA, SM]"
DinJ-YafQ	dinJ-yafQ[dinJp]	-	"[BPP, HIBSCS]"
DnaA	aldA[aldAp]	-	"[BPP, GEA]"
DnaA	dnaAN-recF[dnaAp1]	-	"[BPP, GEA]"
DnaA	dnaAN-recF[dnaAp2]	+-	"[BPP, SM, GEA]"
DnaA	guaBA[guaBp]	-	"[BPP, GEA, HIBSCS]"
DnaA	nrdAB-yfaE[nrdAp]	+	"[BPP, HIBSCS, SM]"
DnaA	polA[polAp]	+	"[BPP, GEA]"
DnaA	rpoH[rpoHp4]	-	"[BCE, HIBSCS]"
DnaA	rpoH[rpoHp3]	-	"[BCE, HIBSCS]"
DnaA	yjeV[yjeVp]	-	"[BPP, GEA]"
DpiA	appY[appYp]	-	"[GEA, HIBSCS]"
DpiA	citCDEFXG[citCp1]	+	"[BPP, GEA, HIBSCS]"
DpiA	citCDEFXG[citCp2]	+	"[BPP, GEA, HIBSCS]"
DpiA	dpiBA[dpiBp]	+	"[BPP, GEA, HIBSCS]"
DpiA	exuT[exuTp2]	+	"[BPP, GEA]"
DpiA	exuT[exutP1]	+	"[BPP, GEA]"
DpiA	mdh[mdhp1]	+	"[BPP, GEA]"
DpiA	mdh[mdhp2]	+	"[BPP, GEA]"
DsdC	dsdA[dsdAp]	+	[GEA]
DsdC	dsdC[dsdCp]	-	[GEA]
DsdC	dsdXA[dsdXp]	+	[GEA]
EbgR	ebgAC[ebgAp]	-	[GEA]
EnvR	acrAB[acrAp]	-	"[AIBSCS, BPP, GEA]"
EnvY	ompC[ompCp1]	+	[IMP]
EnvY	ompF[ompFp]	+	[IMP]
EvgA	acrD[acrDp]	+	"[AIBSCS, GEA]"
EvgA	emrKY[emrKp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
EvgA	evgAS[evgAp2]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
EvgA	evgAS[evgAp1]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
EvgA	frc[frcp]	+	"[AIBSCS, BPP, GEA]"
EvgA	gadE-mdtEF[gadEp]	+	"[BPP, GEA]"
EvgA	safA-ydeO[safAp]	+	"[AIBSCS, BPP, GEA]"
EvgA	ydeP[ydePp]	+	"[AIBSCS, BPP, GEA]"
EvgA	yegRZ[yegRp]	+	"[AIBSCS, BPP, GEA]"
EvgA	yfdX-frc-oxc-yfdVE[yfdXp]	+	"[AIBSCS, BPP, GEA]"
ExuR	exuR[exuRp]	-	"[GEA, HIBSCS]"
ExuR	exuT[exuTp2]	-	"[AIBSCS, GEA]"
ExuR	uxaB[uxaBp]	-	"[GEA, HIBSCS]"
ExuR	uxaCA[uxaCp]	-	"[AIBSCS, GEA]"
ExuR	uxuAB[uxuAp]	-	"[GEA, HIBSCS]"
ExuR	uxuR[uxuRp]	-	"[AIBSCS, GEA]"
FNR	aceEF[aceEp]	-	[GEA]
FNR	ackA[ackAp]	+	[GEA]
FNR	acnA[acnAp2]	-	"[GEA, HIBSCS]"
FNR	acrEF[acrEp]	+	"[AIBSCS, GEA]"
FNR	adhE[adhEp2]	+	"[GEA, HIBSCS]"
FNR	aer[aerp]	+	"[AIBSCS, GEA]"
FNR	aldA[aldAp]	-	"[AIBSCS, GEA]"
FNR	ansB[ansBp2]	+	"[BCE, SM]"
FNR	arcA[arcAp1]	+	"[GEA, HIBSCS]"
FNR	arcA[arcAp3]	-	"[GEA, HIBSCS]"
FNR	aspA[aspAp]	+	"[GEA, HIBSCS]"
FNR	aspA-dcuA[aspAp]	+	"[GEA, HIBSCS]"
FNR	aspC[aspCp]	+-	[GEA]
FNR	bcsBZ[bcsBp]	+	"[AIBSCS, GEA]"
FNR	cadC[cadCp]	+	"[AIBSCS, GEA]"
FNR	caiF[caiFp]	+	"[BCE, GEA]"
FNR	caiTABCDE[caiTp]	+	"[AIBSCS, GEA]"
FNR	citCDEFXG[citCp2]	-	[AIBSCS]
FNR	cydAB[cydAp3]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
FNR	cydAB[cydAp4]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
FNR	cydAB[cydAp1]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
FNR	cydAB[cydAp2]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
FNR	cydDC[cydDp]	+	"[GEA, HIBSCS]"
FNR	cyoABCDE[cyoAp]	-	"[AIBSCS, GEA]"
FNR	dcuB-fumB[dcuBp]	+	"[GEA, HIBSCS]"
FNR	dcuC[dcuCp]	+	"[GEA, HIBSCS]"
FNR	dcuSR[dcuSp]	+	"[AIBSCS, GEA]"
FNR	dmsABC[dmsAp1]	+	"[BCE, BPP, GEA, SM]"
FNR	dpiBA[dpiBp]	-	[AIBSCS]
FNR	dppABCDF[dppAp]	-	"[AIBSCS, GEA]"
FNR	emrKY[emrKp]	+	"[AIBSCS, GEA]"
FNR	fdhF[fdhFp]	+	[GEA]
FNR	fdnGHI[fdnGp]	+	"[GEA, HIBSCS, SM]"
FNR	feoABC[feoAp]	+	"[GEA, HIBSCS]"
FNR	fes-ybdZ-entF-fepE[fesp]	+	"[AIBSCS, GEA]"
FNR	fixABCX[fixAp]	+	"[AIBSCS, GEA]"
FNR	fnr[fnrp]	-	"[BCE, BPP, GEA, HIBSCS]"
FNR	fnrS[fnrSp]	+	"[BPP, GEA, HIBSCS]"
FNR	focA-pflB[focAp1]	+	"[BCE, GEA, HIBSCS, SM]"
FNR	focA-pflB[focAp3]	+	"[BCE, GEA, SM]"
FNR	frdABCD[frdAp]	+	"[BCE, GEA]"
FNR	fumA[fumAp]	-	[GEA]
FNR	fumAC[fumAp]	-	[GEA]
FNR	fumB[fumBp]	+	"[BCE, GEA]"
FNR	fumC[fumCp]	-	[GEA]
FNR	gadAX[gadAp]	-	"[AIBSCS, GEA]"
FNR	gadX[gadXp]	-	"[AIBSCS, GEA]"
FNR	gadXW[gadXp]	-	"[AIBSCS, GEA]"
FNR	garPLRK-rnpB[garPp]	+	"[AIBSCS, GEA]"
FNR	gcvTHP[gcvTp]	+	"[AIBSCS, GEA]"
FNR	gdhA[gdhAp1]	+	[GEA]
FNR	glnD[glnDp]	+-	[GEA]
FNR	glnK-amtB[glnKp]	+-	[GEA]
FNR	glpABC[glpABCp]	+	"[AIBSCS, GEA, HIBSCS]"
FNR	glpTQ[glpTQp]	+	"[AIBSCS, GEA, HIBSCS]"
FNR	gltBDF[gltBp]	-	"[AIBSCS, GEA]"
FNR	gnd[gndp]	-	[GEA]
FNR	grcA[yfiDp]	+-	"[BPP, GEA, SM]"
FNR	hcp-hcr[hcpp]	+	"[BPP, GEA, HIBSCS, SM]"
FNR	hemA-prfA-prmC[hemAp1]	-	"[BPP, GEA]"
FNR	hlyE[hlyEp]	+	"[BPP, GEA]"
FNR	hmp[hmpAp]	-	"[BPP, GEA, HIBSCS, SM]"
FNR	hyfABCDEFGHIJR-focB[hyfAp]	-	"[GEA, HIBSCS]"
FNR	hypBCDE[hypBp]	+	"[BCE, BPP, GEA]"
FNR	hypBCDE-fhlA[hypBp]	+	"[BCE, BPP, GEA]"
FNR	iraD[iraDp2]	+	"[AIBSCS, GEA]"
FNR	iraM[iraMp]	+	[AIBSCS]
FNR	katG[katGp]	+	"[AIBSCS, GEA]"
FNR	lpd[lpdAp]	+-	"[AIBSCS, GEA]"
FNR	malPQ[malPp]	+	"[AIBSCS, GEA]"
FNR	moaABCDE[moaAp1]	+	"[GEA, HIBSCS]"
FNR	moeAB[moeAp]	-	"[BPP, GEA]"
FNR	nac[nacp]	-	[GEA]
FNR	napFDAGHBC-ccmABCDEFGH[napFp1]	+	"[GEA, HIBSCS, SM]"
FNR	narGHJI[narGp]	+	"[BPP, GEA, HIBSCS, SM]"
FNR	narK[narKp1]	+	"[BCE, BPP, GEA, SM]"
FNR	narXL[narXp]	-	"[BCE, BPP, HIBSCS]"
FNR	ndh[ndhp]	-	"[BCE, GEA, SM]"
FNR	nikABCDER[nikAp1]	+	"[GEA, HIBSCS, SM]"
FNR	nirBDC-cysG[nirBp]	+	"[BPP, GEA, HIBSCS, SM]"
FNR	norVW[norVp]	-	"[GEA, HIBSCS]"
FNR	nrdDG[nrdDp]	+	"[BPP, GEA, HIBSCS, SM]"
FNR	nrfABCDEFG[nrfAp]	+	"[BCE, BPP, GEA]"
FNR	nuoABCEFGHIJKLMN[nuoAp2]	-	"[BCE, GEA, SM]"
FNR	ompW[ompWp]	+	"[AIBSCS, GEA]"
FNR	ompX[ompXp2]	-	"[AIBSCS, GEA]"
FNR	pdhR-aceEF-lpd[pdhRp]	+-	"[AIBSCS, BCE, GEA]"
FNR	pepT[pepTp]	+	"[AIBSCS, GEA]"
FNR	pitA[pitAp]	+	"[AIBSCS, GEA]"
FNR	pstS[pstSp]	+	"[AIBSCS, GEA]"
FNR	pstSCA[pstSp]	+	"[AIBSCS, GEA]"
FNR	pstSCAB-phoU[pstSp]	+	"[AIBSCS, GEA]"
FNR	purMN[purMp]	-	"[AIBSCS, GEA, HIBSCS, SM]"
FNR	puuAP[puuAp]	-	"[AIBSCS, GEA]"
FNR	rplM-rpsI[rplMp]	-	"[AIBSCS, GEA]"
FNR	rplT[rplTp]	-	[GEA]
FNR	rplT-pheM[rplTp]	-	[GEA]
FNR	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ[rpsJp]	+	[GEA]
FNR	rpsP-rimM-trmD-rplS[rpsPp]	-	[GEA]
FNR	sdhCDAB-sucABCD[sdhCp]	-	[GEA]
FNR	sodA[sodAp]	-	"[BCE, GEA]"
FNR	soxR[soxRp]	-	[GEA]
FNR	soxS[soxSp]	-	[GEA]
FNR	ssuEADCB[ssuEp]	+	"[AIBSCS, GEA]"
FNR	sucAB[sucAp]	-	"[AIBSCS, GEA]"
FNR	sucABCD[sucAp]	-	"[AIBSCS, GEA]"
FNR	tar-tap-cheRBYZ[tarp]	+	"[AIBSCS, GEA]"
FNR	tdcABCDEFG[tdcAp]	+	"[AIBSCS, GEA]"
FNR	tpx[tpxp]	-	"[GEA, HIBSCS]"
FNR	ubiCA[ubiCp]	-	"[GEA, HIBSCS]"
FNR	upp-uraA[uppp]	+	"[AIBSCS, GEA]"
FNR	uxaCA[uxaCp]	+	"[AIBSCS, GEA]"
FNR	xdhABC[xdhAp]	+	"[GEA, HIBSCS]"
FNR	ybdN[ybdNp]	+	[AIBSCS]
FNR	ychO[ychOp]	-	"[AIBSCS, GEA]"
FNR	ydeJ[ydeJp]	+	[AIBSCS]
FNR	ydhYVWXUT[ydhYp]	+	"[BPP, GEA, HIBSCS, SM]"
FNR	yecR[yecRp]	+	"[AIBSCS, GEA]"
FNR	yeiL[yeiLp]	-	"[GEA, HIBSCS]"
FNR	yfgF[yfgFp]	+	"[BPP, GEA, HIBSCS]"
FNR	ygbA[ygbAp]	-	"[AIBSCS, GEA]"
FNR	yhjA[yhjAp]	+	"[AIBSCS, BPP]"
FNR	ynfEFGH-dmsD[ynfEp]	+	"[AIBSCS, BPP, GEA, SM]"
FNR	yqjI[yqjIp]	+	"[AIBSCS, GEA]"
FNR	ysgA[ysgAp]	-	"[AIBSCS, GEA]"
FNR	ytfE[ytfEp]	-	[GEA]
FNR	zwf[zwfp]	-	[GEA]
FabR	fabA[fabAp]	-	"[AIBSCS, BCE, BPP, GEA, HIBSCS]"
FabR	fabB[fabBp]	-	"[BCE, BPP, GEA, HIBSCS]"
FadR	fabA[fabAp]	+	"[BCE, GEA, HIBSCS]"
FadR	fabB[fabBp]	+	"[BPP, GEA, HIBSCS]"
FadR	fabHDG[fabHp]	+	"[BPP, GEA, HIBSCS, SM]"
FadR	fadBA[fadBp]	-	"[BCE, HIBSCS]"
FadR	fadD-sroD[fadDp]	-	[BPP]
FadR	fadE[fadEp]	-	"[BPP, GEA, HIBSCS]"
FadR	fadH[fadHp]	-	"[BPP, GEA, HIBSCS]"
FadR	fadIJ[fadIp]	-	"[BPP, GEA, HIBSCS]"
FadR	fadL[fadLp]	-	"[BCE, BPP, GEA, HIBSCS]"
FadR	fadM[fadMp1]	-	[HIBSCS]
FadR	fadR[fadRp]	+	[AIBSCS]
FadR	iclR[iclRp]	+	"[BPP, GEA, SM]"
FadR	uspA[uspAp1]	-	"[BCE, BPP, GEA, HIBSCS]"
FeaR	feaB[feaBp1]	+	"[BPP, GEA, HIBSCS, SM]"
FeaR	tynA[tynAp1]	+	"[BPP, GEA, HIBSCS, SM]"
FhlA	fdhF[fdhFp]	+	"[BPP, GEA, HIBSCS]"
FhlA	hycABCDEFGHI[hycAp]	+	"[BPP, GEA, HIBSCS]"
FhlA	hydN-hypF[hydNp]	+	"[BPP, GEA]"
FhlA	hyfABCDEFGHIJR-focB[hyfAp]	+	[GEA]
FhlA	hypABCDE[hypAp]	+	"[BPP, GEA, HIBSCS]"
FhlA	hypABCDE-fhlA[hypAp]	+	"[BPP, GEA, HIBSCS]"
Fis	acnB[acnBp]	-	"[GEA, HIBSCS]"
Fis	acs-yjcH-actP[acsp1]	-	"[BPP, GEA]"
Fis	acs-yjcH-actP[acsp2]	-	"[AIBSCS, BPP, GEA, SM]"
Fis	adhE[adhEp1]	+	"[BPP, GEA, HIBSCS]"
Fis	alaWX[alaWp]	+	[BCE]
Fis	aldB[aldBp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Fis	ansB[ansBp1]	-	"[AIBSCS, GEA]"
Fis	argU[argUp]	+	[BCE]
Fis	argW[argWp]	+	[BCE]
Fis	argX-hisR-leuT-proM[argXp]	+	[BCE]
Fis	aspV[aspVp]	+	[BCE]
Fis	bglG[bglGp]	-	[BPP]
Fis	bglGFB[bglGp]	-	[BPP]
Fis	carAB[carAp1]	+	"[AIBSCS, GEA]"
Fis	cbpAM[cbpAp6]	-	"[BPP, GEA, HIBSCS, SM]"
Fis	cbpAM[cbpAp4]	-	[]
Fis	crp[crpp1]	-	"[BPP, GEA, HIBSCS]"
Fis	crp[crpp3]	-	"[BPP, GEA, HIBSCS]"
Fis	crp[crpp2]	-	"[BPP, GEA, HIBSCS]"
Fis	cspI[cspIp]	-	"[AIBSCS, GEA]"
Fis	deoCABD[deoCp2]	+	"[AIBSCS, GEA]"
Fis	dmsABC[dmsAp1]	-	"[AIBSCS, GEA]"
Fis	dps[dpsp]	-	"[BPP, GEA, HIBSCS]"
Fis	dusB-fis[dusBp]	-	"[BPP, GEA, HIBSCS, SM]"
Fis	fadBA[fadBp]	+	"[AIBSCS, GEA]"
Fis	flxA[flxAp]	+	"[AIBSCS, GEA]"
Fis	fumB[fumBp]	-	[GEA]
