TF	TU	Function	Evidence that supports the existence of the regulatory interaction
CRP	aldA[aldAp]	+	"[BCE, GEA]"
CRP	aldB[aldBp]	+	"[AIBSCS, BPP]"
CRP	ampDE[ampD]	-	"[AIBSCS, GEA, HIBSCS]"
CRP	ansB[ansBp2]	+	"[BCE, SM]"
CRP	araBAD[araBp]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	araC[araCp]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	araE[araEp]	+	"[AIBSCS, BPP]"
CRP	araFGH[araFp]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	araJ[araJp]	+	"[BPP, HIBSCS]"
CRP	argG[argGp]	+	"[BPP, GEA, SM]"
CRP	ascFB[ascFp]	+	"[BPP, ICWHO]"
CRP	aspA[aspAp]	+	"[GEA, HIBSCS]"
CRP	aspA-dcuA[aspAp]	+	"[GEA, HIBSCS]"
CRP	azuC[azuCp]	-	"[GEA, HIBSCS]"
CRP	bglG[bglGp]	+	"[AIBSCS, BPP, GEA, SM]"
CRP	bglGFB[bglGp]	+	"[AIBSCS, BPP, GEA, SM]"
CRP	bhsA[bhsAp]	-	"[BPP, GEA, HIBSCS]"
CRP	caiF[caiFp]	+	"[BCE, GEA]"
CRP	caiTABCDE[caiTp]	+	"[BCE, GEA, HIBSCS]"
CRP	cdd[cddp]	+	"[BPP, GEA, SM]"
CRP	chbBCARFG[chbBp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
CRP	cirA[cirAp2]	+	[]
CRP	cirA[cirAp1]	+	"[GEA, HIBSCS]"
CRP	citCDEFXG[citCp2]	-	[AIBSCS]
CRP	comR[comRp]	-	"[BPP, GEA, HIBSCS]"
CRP	cpdB[cpdBp]	+	"[BCE, SM]"
CRP	crp[crpp1]	+	"[BPP, HIBSCS, SM, AIBSCS, GEA]"
CRP	csgDEFG[csgDp1]	+	"[AIBSCS, GEA]"
CRP	csiD-lhgO-gabDTP[csiDp]	+	"[AIBSCS, BPP, GEA]"
CRP	csiE[csiEp]	+	[GEA]
CRP	cspE[cspEp2]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	cstA[cstAp1]	+	"[GEA, SM]"
CRP	cyaA[cyaAp]	-	"[BPP, GEA, HIBSCS]"
CRP	cyaR[cyaRp]	+	"[AIBSCS, BPP, GEA, SM]"
CRP	cyoABCDE[cyoAp]	+	"[AIBSCS, GEA]"
CRP	cytR[cytRp]	+-	"[BPP, GEA, HIBSCS]"
CRP	dadAX[dadAp2]	+	"[BPP, GEA, HIBSCS]"
CRP	dadAX[dadAp1]	+	"[BPP, GEA, HIBSCS]"
CRP	dadAX[dadAp3]	+	"[BPP, GEA, HIBSCS]"
CRP	dctA[dctAp]	+	"[BPP, GEA, HIBSCS]"
CRP	dcuB-fumB[dcuBp]	+	"[GEA, HIBSCS]"
CRP	dcuR[dcuRp]	+	"[BPP, HIBSCS]"
CRP	deoCABD[deoCp2]	+	"[BPP, GEA, HIBSCS, SM, AIBSCS]"
CRP	dpiBA[dpiBp]	-	[AIBSCS]
CRP	dsdA[dsdAp]	+	[HIBSCS]
CRP	dsdXA[dsdXp]	+	[BCE]
CRP	dusB-fis[dusBp]	+	"[AIBSCS, GEA, BPP]"
CRP	ebgAC[ebgAp]	+	[HIBSCS]
CRP	entCEBAH[entCp]	+	"[AIBSCS, GEA]"
CRP	epd-pgk[epdp]	+	"[BCE, GEA, HIBSCS, SM]"
CRP	epd-pgk-fbaA[epdp]	+	"[BCE, GEA, HIBSCS, SM]"
CRP	exuT[exuTp2]	+	"[AIBSCS, HIBSCS]"
CRP	fadD-sroD[fadDp]	+	"[AIBSCS, BPP, GEA]"
CRP	fadH[fadHp]	+	"[GEA, HIBSCS]"
CRP	fadL[fadLp]	+	"[BPP, GEA]"
CRP	feaB[feaBp1]	+	"[GEA, HIBSCS]"
CRP	feaR[feaRp2]	+	[HIBSCS]
CRP	fecABCDE[fecAp]	+	[GEA]
CRP	fepA-entD[fepAp]	+	"[AIBSCS, GEA]"
CRP	fiu[fiup]	+	"[AIBSCS, GEA]"
CRP	fixABCX[fixAp]	+	"[GEA, HIBSCS]"
CRP	flhDC[flhDp]	+	"[BPP, GEA, HIBSCS]"
CRP	focA-pflB[focAp1]	+	"[AIBSCS, BCE, GEA, HIBSCS, SM]"
