TU	Gene
cvpA-purF-ubiX	ubiX
ubiX	ubiX
cvrA	cvrA
cyaA	cyaA
cyaR	cyaR
cyaY	cyaY
cybB	cybB
cybC	cybC
cycA	cycA
cydAB	cydA
cydAB	cydB
cydC	cydC
cydDC	cydD
cydDC	cydC
cydX-ybgE	cydX
cydX-ybgE	ybgE
cynR	cynR
cynTS	cynT
cynTS	cynS
cynTSX	cynT
cynTSX	cynS
cynTSX	cynX
cyoABCDE	cyoA
cyoABCDE	cyoB
cyoABCDE	cyoC
cyoABCDE	cyoD
cyoABCDE	cyoE
cyoE	cyoE
cysB	cysB
cysC	cysC
cysDNC	cysD
cysDNC	cysN
cysDNC	cysC
cysE	cysE
cysH	cysH
cysJIH	cysJ
cysJIH	cysI
cysJIH	cysH
cysK	cysK
cysPUWAM	cysP
cysPUWAM	cysU
cysPUWAM	cysW
cysPUWAM	cysA
cysPUWAM	cysM
cysQ	cysQ
cysS	cysS
cysZ	cysZ
cytR	cytR
dacA	dacA
dacB	dacB
dacC	dacC
dacD	dacD
dadAX	dadA
dadAX	dadX
bamC	bamC
dapA-bamC	dapA
dapA-bamC	bamC
dapB	dapB
dauA	dauA
dcm-vsr	dcm
dcm-vsr	vsr
dcp	dcp
dcrB	dcrB
dctA	dctA
dcuB-fumB	dcuB
dcuB-fumB	fumB
fumB	fumB
dcuC	dcuC
dcuD	dcuD
dcuR	dcuR
dcuSR	dcuS
dcuSR	dcuR
dcyD-yecSC	dcyD
dcyD-yecSC	yecS
dcyD-yecSC	yecC
yecC	yecC
ddlA	ddlA
ddpXABCDF	ddpX
ddpXABCDF	ddpA
ddpXABCDF	ddpB
ddpXABCDF	ddpC
ddpXABCDF	ddpD
ddpXABCDF	ddpF
def-fmt	def
def-fmt	fmt
degP	degP
degQS	degQ
degQS	degS
deoABD	deoA
deoABD	deoB
deoABD	deoD
deoBD	deoB
deoBD	deoD
deoCABD	deoC
deoCABD	deoA
deoCABD	deoB
deoCABD	deoD
deoR	deoR
dfp	dfp
dgcZ	dgcZ
dgkA	dgkA
