Operon	TU
metT-leuW-glnUW-metU-glnVX	metT-leuW-glnUW-metU-glnVX
asnB	asnB
nagBAC-umpH	umpH
nagBAC-umpH	nagC
nagBAC-umpH	nagC
nagBAC-umpH	nagA
nagBAC-umpH	nagBAC-umpH
nagE	nagE
glnS	glnS
glnS	glnS
chiP-ybfN	chiP-ybfN
fldA-uof-fur	fur
fldA-uof-fur	fur
fldA-uof-fur	fur
fldA-uof-fur	fur
fldA-uof-fur	uof-fur
fldA-uof-fur	uof-fur
fldA-uof-fur	fldA-uof-fur
fldA-uof-fur	fldA-uof-fur
ybfE	ybfE
ybfF	ybfF
seqA-pgm	seqA-pgm
ybfHG	ybfHG
speF-potE	potE
kdpDE	kdpE
kdpFABC	kdpFABC
ybfA	ybfA
ybfA	ybfA
rhsC-ybfB	rhsC-ybfB
ybgA-phr	ybgA-phr
ybgA-phr	ybgA-phr
ybgA-phr	phr
ybgIJKL-nei	ybgIJKL-nei
dtpD	dtpD
dtpD	dtpD
dtpD	dtpD
ybgIJKL-nei	ybgIJKL-nei
ybgQPO	ybgO
ybgQPO	ybgO
ybgD	ybgD
gltA	gltA
gltA	gltA
sdhCDAB-sucABCD	sdhCDAB-sucABCD
sdhCDAB-sucABCD	sdhDAB
sdhCDAB-sucABCD	sucABCD
sdhCDAB-sucABCD	sucAB
mngAB	mngAB
mngR	mngR
cydAB	cydAB
cydAB	cydAB
cydAB	cydAB
cydAB	cydAB
cydAB	cydAB
cydX-ybgE	cydX-ybgE
ybgC-tolQRA	ybgC-tolQRA
ybgC-tolQRA	ybgC-tolQRA
tolB-pal-ybgF	tolB-pal-ybgF
tolB-pal-ybgF	tolB-pal-ybgF
lysT-valT-lysW	lysT-valT-lysW
nadA-pnuC	nadA-pnuC
zitB	zitB
zitB	zitB
ybgS	ybgS
ybgS	ybgS
ybgS	ybgS
ybgS	ybgS
ybgS	ybgS
aroG	aroG
gpmA	gpmA
gpmA	gpmA
galETKM	galM
galETKM	galETKM
galETKM	galETKM
galETKM	galETKM
acrZ	acrZ
modABC	modABC
modABC	modABC
ybhA	ybhA
pgl	pgl
ybhA	ybhA
ybhH	ybhH
ybhD	ybhD
ybhH	ybhH
ybhD	ybhD
ybhC	ybhC
ybhB	ybhB
ybhB	ybhB
bioA	bioA
bioBFCD	bioBFCD
uvrB	uvrB
uvrB	uvrB
uvrB	uvrB
ybhK	ybhK
moaABCDE	moaABCDE
moaABCDE	moaABCDE
moaABCDE	moaBCDE
ybhM	ybhM
ybhP-clsB-ybhN	ybhN
ybhQ	ybhQ
rhlE	rhlE
ybiA	ybiA
dinG	dinG
ybiI	ybiI
ybiX	ybiX
fiu	fiu
mcbA	mcbA
rlmF	rlmF
rlmF	rlmF
ybiO	ybiO
ybiO	ybiO
glnHPQ	glnQ
glnHPQ	glnHPQ
glnHPQ	glnHPQ
dps	dps
ompX	ompX
rhtA	rhtA
ompX	ompX
opgE	opgE
rybA-mntS	rybA-mntS
mntR-ybiR	mntR-ybiR
mntR-ybiR	mntR-ybiR
mntR-ybiR	mntR-ybiR
mntR-ybiR	mntR-ybiR
ybiS	ybiS
ybiT	ybiT
ybiU	ybiU
ybiU	ybiU
ybiU	ybiU
ybiV	ybiV
ybiYW	ybiW
fsaA	fsaA
moeAB	moeAB
iaaA-gsiABCD	iaaA-gsiABCD
yliEF	yliEF
rimO	rimO
bssR	bssR
gstB	gstB
dacC	dacC
ybjG	ybjG
mdfA	mdfA
