TU	Promoter
cusCFBA	cusCp
cusRS	cusRp
cutA	cutAp
cutC	cutCp
cutC	cutCp2
cvpA-purF-ubiX	cvpAp1
cvpA-purF-ubiX	cvpAp2
cvrA	cvrAp6
cyaA	cyaAp
cyaA	cyaAp1
cyaA	cyaAp2
cyaR	cyaRp
cyaY	cyaYp5
cybB	cybBp5
cybB	cybBp6
cybB	cybBp7
cycA	cycAp
cydAB	cydAp1
cydAB	cydAp2
cydAB	cydAp3
cydAB	cydAp4
cydAB	cydAp5
cydC	cydCp5
cydDC	cydDp
cynR	cynRp
cynTS	cynTp
cynTSX	cynTp
cyoABCDE	cyoAp
cyoE	cyoEp3
cysB	cysBp
cysC	cysCp3
cysDNC	cysDp
cysE	cysEp
cysG	cysGp1
cysG	cysGp2
cysH	cysHp
cysJIH	cysJp
cysK	cysKp1
cysK	cysKp2
cysPUWAM	cysPp
cysS	cysSp
cysZ	cysZp1
cytR	cytRp
dacA	dacAp2
dacA	dacAp3
dacB	dacBp5
dacC	dacCp
dadAX	dadAp1
dadAX	dadAp2
dadAX	dadAp3
dam-rpe-gph-trpS	damp1
dam-rpe-gph-trpS	damp2
damX-dam-rpe-gph-trpS	damXp
dapA-bamC	dapAp
dapB	dapBp1
dapB	dapBp2
dapD	dapDp
dapE-ypfN	dapEp
C0343-dbpA	dbpAp2
dcd	dcdp
dcp	dcpp3
dcrB	dcrBp1
dcrB	dcrBp2
dcrB	dcrBp6
dcrB	dcrBp8
dctA	dctAp
dcuA	dcuAp
dcuB-fumB	dcuBp
dcuB-fumB	dcuBp2
dcuC	dcuCp
dcuD	dcuDp
dcuD	dcuDp2
dcuR	dcuRp
dcuSR	dcuSp
dcyD-yecSC	dcyDp
ddpXABCDF	ddpXp
ddpXABCDF	ddpXp2
ddpXABCDF	ddpXp3
deaD	deaDp1
dedA	dedAp2
dedD	dedDp2
dedD	dedDp3
def-fmt	defp
degP	degPp
degQS	degQp1
deoABD	deoAp
deoBD	deoBp
deoCABD	deoCp1
deoCABD	deoCp2
deoR	deoRp
dfp	dfpp
dgcZ	dgcZp
dgkA	dgkAp
dgkA	dgkAp1
dgt	dgtp1
dgt	dgtp2
dhaKLM	dhaKp
dhaM	dhaMp
dhaR	dhaRp
dicB-ydfDE-insD-intQ	dicBp
dicC-ydfXW	dicCp
dinB-yafNOP	dinBp
dinD	dinDp
dinG	dinGp
dinI	dinIp
dinJ-yafQ	dinJp
dinQ	dinQp
djlA	djlAp3
dkgA	dkgAp
dkgB	dkgBp
dksA-gluQ	dksAp1
dksA-gluQ	dksAp2
dksA-gluQ	dksAp3
dld	dldp6
dld	dldp7
dmlA	dmlAp4
dmlR	dmlRp3
dmsABC	dmsAp1
dmsABC	dmsAp2
dnaAN-recF	dnaAp1
dnaAN-recF	dnaAp2
dnaB	dnaBp
dnaK-tpke11-dnaJ	dnaKp1
dnaK-tpke11-dnaJ	dnaKp2
dnaK-tpke11-dnaJ	dnaKp3
dnaN-recF	dnaNp1
dnaN-recF	dnaNp2
dnaN-recF	dnaNp3
dnaN-recF	dnaNp4
dnaQ	dnaQp1
dnaQ	dnaQp2
dnaTC	dnaTp
dnaTC-yjjA	dnaTp
dnaX	dnaXp
dosP	dosPp3
dpiBA	dpiBp
dpiBA	dpiBp2
dppABCDF	dppAp
dps	dpsp
dsbA	dsbAp
dsbB	dsbBp6
dsbC	dsbCp
dsbC-recJ-prfB	dsbCp2
dsbG	dsbGp
dsdA	dsdAp
dsdC	dsdCp
dsdXA	dsdXp
dsrA	dsrAp
dsrB	dsrBp5
dtpD	dtpDp5
dtpD	dtpDp6
dtpD	dtpDp8
dusA	dusAp6
dusA	dusAp9
dusB-fis	dusBp
dusC	dusCp
dut-slmA	dutp
dxr	dxrp1
