TU	Promoter
uxuR	uxuRp
valS	valSp1
valS	valSp2
valUXY-lysV	valUp
valVW	valVp
ves	vesp
waaA	waaAp1
waaA-coaD	waaAp1
waaA	waaAp2
waaQGPSBIJYZU	waaQp1
waaU	waaUp5
waaU	waaUp6
waaU	waaUp8
waaU	waaUp9
wbbK	wbbKp4
wcaM	wcaMp1
wrbA-yccJ	wrbAp
wza-wzb-wzc-wcaAB	wzap
wza-wzb-wzc	wzap2
wzxC	wzxCp5
xanP	xanPp4
xanP	xanPp5
xanQ-guaD-ghxQ	xanQp3
xapAB	xapAp
xapR	xapRp1
xapR	xapRp2
xdhABC	xdhAp
xdhABC	xdhAp2
xerD-dsbC-recJ	xerDp
xseA	xseAp
xseB-ispA-dxs-yajO	xseBp
xthA	xthAp
xylAB	xylAp
xylE	xylEp1
xylE	xylEp8
xylFGHR	xylFp
xylR	xylRp
yaaA	yaaAp3
yaaA	yaaAp5
yaaI	yaaIp2
yaaI	yaaIp3
yaaI	yaaIp4
yaaJ	yaaJp4
yaaU	yaaUp
yaaW	yaaWp3
yaaX	yaaXp4
yabI	yabIp
yacC-speED	yacCp
yacG	yacGp
yacH	yacHp3
yacH	yacHp5
yacL	yacLp
yadC	yadCp
yadD	yadDp3
yadD	yadDp4
yadD	yadDp5
yadE	yadEp3
yadE	yadEp4
yadN	yadNp1
yadN	yadNp7
yadN	yadNp8
yadS	yadSp5
yadS	yadSp6
yadS	yadSp7
yadV-htrE	yadVp1
yadV-htrE	yadVp2
yadV-htrE	yadVp3
yaeF	yaeFp1
yaeP-rof	yaePp
yaeQ-arfB-nlpE	yaeQp
yaeQ-arfB-nlpE	yaeQp3
yaeQ-arfB-nlpE	yaeQp6
yaeR	yaeRp3
yafC	yafCp6
yafDE	yafDp
yafK	yafKp6
yafL	yafLp6
yafNOP	yafNp
yafS	yafSp2
yafT	yafTp4
yafT	yafTp5
yafT	yafTp6
yafU	yafUp
yafV	yafVp
yafZ	yafZp
yagEF	yagEp3
yagEF	yagEp8
yagGH	yagGp6
yagGH	yagGp7
yagGH	yagGp8
yagGH	yagGp9
yagI	yagIp1
yagK	yagKp6
yagL	yagLp7
yagN	yagNp3
yagN	yagNp4
yagN	yagNp5
yagN	yagNp8
yahA	yahAp1
yahA	yahAp2
yahC	yahCp5
yahE	yahEp
yahM	yahMp4
yahM	yahMp5
yahN	yahNp5
yahN	yahNp6
yahO	yahOp
yaiA-aroM	yaiAp
yaiE	yaiEp
yaiI	yaiIp3
yaiI	yaiIp6
yaiI	yaiIp7
yaiO	yaiOp4
yaiO	yaiOp5
yaiO	yaiOp6
yaiP	yaiPp5
yaiS	yaiSp12
yaiS	yaiSp13
yaiS	yaiSp14
yaiS	yaiSp9
yaiV	yaiVp4
yaiY	yaiYp5
yaiY	yaiYp6
yaiZ	yaiZp
yaiZ	yaiZp6
yajC-secDF	yajCp
yajD	yajDp5
yajD	yajDp6
yajI	yajIp6
yajL	yajLp2
yajO	yajOp
yajQ	yajQp
yajR	yajRp
ybaB-recR	ybaBp
ybaL	ybaLp
ybaM	ybaMp3
ybaN	ybaNp1
ybaN	ybaNp6
ybaN	ybaNp8
ybaN	ybaNp9
ybaO	ybaOp
ybaP	ybaPp3
ybaP	ybaPp4
ybaP	ybaPp6
ybaQ	ybaQp
ybaQ	ybaQp3
ybaST	ybaSp
ybaV	ybaVp3
ybaY	ybaYp3
ybbJ	ybbJp1
fetAB	ybbLp
fetAB	ybbLp6
ybbN	ybbNp1
ybbN	ybbNp2
ybbO	ybbOp4
ybbY-glxK	ybbYp
ybcH	ybcHp4
ybcI	ybcIp5
ybcJ	ybcJp3
ybcJ	ybcJp4
ybcJ	ybcJp5
ybcJ	ybcJp7
ybcK	ybcKp1
ybcK	ybcKp5
ybcK	ybcKp7
ybcLM	ybcLp2
ybcLM	ybcLp7
ybcN-ninE-ybcO-rusA-ylcG	ybcNp5
ybcN-ninE-ybcO-rusA-ylcG	ybcNp6
ybcW	ybcWp4
ybcW	ybcWp7
entH	ybdBp
ybdD	ybdDp2
ybdF	ybdFp5
ybdH	ybdHp6
ybdH	ybdHp7
ybdJ	ybdJp2
ybdJ	ybdJp3
ybdJ	ybdJp4
ybdJ	ybdJp5
ybdK	ybdKp3
ybdL	ybdLp3
ybdM	ybdMp2
ybdN	ybdNp
ybdR	ybdRp6
ybeD-lipB	ybeDp
ybeF	ybeFp4
ybeF	ybeFp5
ybeF	ybeFp6
ybeF	ybeFp7
ybeL	ybeLp
ybeQ	ybeQp1
ybeQ	ybeQp10
ybeQ	ybeQp11
ybeQ	ybeQp12
ybeQ	ybeQp5
ybeQ	ybeQp8
ybeR-djlB	ybeRp5
ybeR-djlB	ybeRp6
ybeR-djlB	ybeRp7
ybeT	ybeTp8
ybeU-djlC	ybeUp4
ybeU-djlC	ybeUp5
ybeZYX-lnt	ybeZp
ybfA	ybfAp7
ybfA	ybfAp8
ybfE	ybfEp
ybfF	ybfFp1
ybfHG	ybfHp
chiP-ybfN	ybfMp
ybgA-phr	ybgAp1
ybgA-phr	ybgAp2
ybgC-tolQRA	ybgCp5
ybgC-tolQRA	ybgCp6
ybgD	ybgDp9
cydX-ybgE	ybgEp4
ybgIJKL-nei	ybgIp1
ybgIJKL-nei	ybgIp2
ybgO	ybgOp3
ybgO	ybgOp4
ybgS	ybgSp1
ybgS	ybgSp2
ybgS	ybgSp5
ybgS	ybgSp7
ybgS	ybgSp8
ybhA	ybhAp10
ybhA	ybhAp6
ybhB	ybhBp2
ybhB	ybhBp4
ybhC	ybhCp
ybhD	ybhDp2
ybhD	ybhDp5
ybhH	ybhHp7
ybhH	ybhHp8
ybhK	ybhKp
ybhM	ybhMp7
ybhN	ybhNp5
ybhQ	ybhQp
ybiA	ybiAp6
ybiI	ybiIp6
ybiO	ybiOp2
ybiO	ybiOp5
opgE	ybiPp5
ybiS	ybisp
ybiT	ybiTp
ybiU	ybiUp5
ybiU	ybiUp6
ybiU	ybiUp7
ybiV	ybiVp5
ybiW	ybiWp4
ybiX	ybiXp2
ybjC-nfsA-rimK-ybjN	ybjCp
ybjE	ybjEp3
ybjE	ybjEp5
ybjG	ybjGp
ybjL	ybjLp10
ybjL	ybjLp12
ybjM	ybjMp4
ybjM	ybjMp8
ybjN	ybjNp
ybjO-rlmC	ybjOp4
ybjO-rlmC	ybjOp5
ybjP	ybjPp
ybjQ-amiD	ybjQp
ybjS	ybjSp3
ybjX	ybjXp
ycaD	ycaDp1
ycaD	ycaDp6
ycaI-msbA-lpxK-ycaQ	ycaIp6
ycaI-msbA-lpxK-ycaQ	ycaIp7
ycaI-msbA-lpxK-ycaQ	ycaIp8
ycaK	ycaKp3
ycaK	ycaKp4
ycaK	ycaKp5
ycaL	ycaLp1
ycaL	ycaLp6
ycaL	ycaLp8
ycaL	ycaLp9
ycaM	ycaMp2
ycaM	ycaMp3
ycaM	ycaMp4
ycaM	ycaMp5
ycaR-kdsB	ycaRp
ycbB	ycbBp
ycbJ	ycbJp
ycbKL	ycbKp
zapC	ycbWp4
zapC	ycbWp6
ycbZ	ycbZp4
yccA	yccAp
yccE	yccEp
yccFS	yccFp
yccS	yccSp2
yccS	yccSp3
yccT	yccTp
yccT	yccTp5
yccX	yccXp4
yccX	yccXp5
yccX	yccXp7
ycdT	ycdTp
ycdU	ycdUp1
ycdU	ycdUp11
ycdU	ycdUp9
ycdZ	ycdZp4
yceA	yceAp
yceD-rpmF	yceDp1
yceD-rpmF	yceDp2
yceF	yceFp6
yceF	yceFp7
yceF	yceFp8
yceF	yceFp9
yceH	yceHp2
yceH	yceHp4
yceI	yceIp5
yceJI	yceJp
yceM	yceMp4
yceO	yceOp1
yceO	yceOp7
yceO	yceOp8
yceQ	yceQp6
ycfD	ycfDp4
ycfD	ycfDp5
ycfJ	ycfJp3
ycfS	ycfSp
ycfT	ycfTp11
ycfT	ycfTp9
ycfZ	ycfZp5
ycfZ	ycfZp6
ycgB	ycgBp
ycgG	ycgGp7
ycgJ	ycgJp5
ycgL	ycgLp
ycgN	ycgNp1
ycgN	ycgNp3
ycgN	ycgNp5
ycgR	ycgRp
ycgV	ycgVp10
ycgV	ycgVp9
ycgX	ycgXp4
ycgX	ycgXp5
ycgY	ycgYp1
ycgY	ycgYp6
ycgZ-ymgA-ariR-ymgC	ycgZp
ychE	ychEp8
ychF	ychFp
ychH	ychHp
ychJ	ychJp
ychN	ychNp4
ychO	ychOp
ychQA-kdsA	ychQp
yciA	yciAp8
yciB	yciBp3
yciCB	yciCp
yciE	yciEp
yciE	yciEp2
yciE	yciEp6
yciE	yciEp7
yciG	yciGp
yciGFE	yciGp
yciI	yciIp
yciN	yciNp10
yciN	yciNp11
yciN	yciNp5
yciN	yciNp8
yciN	yciNp9
yciSM-pyrF-yciH	yciSp
yciT	yciTp
yciT	yciTp1
yciU	yciUp4
yciU	yciUp5
yciU	yciUp6
yciVOQ	yciVp
yciW	yciWp4
yciZT	yciZp
ycjD	ycjDp4
ycjD	ycjDp5
ycjG	ycjGp
ycjMNOPQRSTUV-ymjB	ycjMp3
ycjMNOPQRSTUV-ymjB	ycjMp4
ycjW	ycjWp2
ycjXF-tyrR	ycjXp
ycjY	ycjYp6
ycjY-ymjDC-mpaA	ycjYp6
pgrR	ycjZp7
ydaE	ydaEp5
ydaN	ydaNp
ydaSTUVW-rzpR	ydaSp2
ydaSTUVW-rzpR	ydaSp3
ydaSTUVW-rzpR	ydaSp4
ydaSTUVW-rzpR	ydaSp6
ydbC	ydbCp1
ydbD	ydbDp
ydbH-ynbE-ydbL	ydbHp9
ydbJ	ydbJp
ydbJ	ydbJp1
ydbK	ydbKp
ydbK-ompN	ydbKp
ydbK-ompN	ydbKp4
ydcA	ydcAp6
ydcA	ydcAp7
ydcF	ydcFp3
ydcF	ydcFp4
ydcI	ydcIp
ydcI	ydcIp4
ydcJ	ydcJp10
ydcJ	ydcJp11
ydcK	ydcKp8
ydcL	ydcLp1
ydcL	ydcLp4
ydcL	ydcLp5
ydcL	ydcLp6
ydcL	ydcLp7
ydcN	ydcNp5
ydcP	ydcPp2
ydcR	ydcRp
ydcSTUV-patD	ydcSp1
ydcSTUV-patD	ydcSp7
ydcSTUV-patD	ydcSp9
ydcX	ydcXp1
ydcX	ydcXp7
ydcX	ydcXp9
ydcY	ydcYp3
ydcZ	ydcZp1
yddB	yddBp6
yddE	yddEp5
yddG	yddGp
yddJ	yddJp1
yddJ	yddJp5
yddJ	yddJp6
yddJ	yddJp8
yddJ	yddJp9
yddW	yddWp6
ydeA	ydeAp
ydeE	ydeEp1
ydeE	ydeEp4
ydeI	ydeIp1
ydeI	ydeIp5
ydeI	ydeIp6
ydeJ	ydeJp
ydeN	ydeNp3
ydeN	ydeNp7
ydeO	ydeOp
ydeP	ydePp
ydeQ	ydeQp
ydeR	ydeRp1
ydfABC	ydfAp6
ydfABC	ydfAp8
ydfG	ydfGp
ydfH	ydfHp
ydfK	ydfKp
ydfK	ydfKp5
ydgA	ydgAp
ydgC	ydgCp3
ydgD	ydgDp4
ydgD	ydgDp7
ydgH	ydgHp5
ydgJ	ydgJp6
ydgK-rsxABCDGE-nth	ydgKp
ydhB	ydhBp2
ydhC	ydhCp1
ydhC	ydhCp5
ydhC	ydhCp6
ydhF	ydhFp1
ydhF	ydhFp3
ydhIJK	ydhIp
ydhL	ydhLp3
mepH	ydhOp
ydhQ	ydhQp
ydhS	ydhSp3
ydhS	ydhSp5
ydhS	ydhSp6
ydhT	ydhTp1
ydhYVWXUT	ydhYp
ydhZ	ydhZp5
ydhZ	ydhZp6
ydiE	ydiEp5
ydiH	ydiHp2
ydiH	ydiHp3
ydiM	ydiMp1
ydiM	ydiMp5
ydiNB-aroD	ydiNp6
ydiP	ydiPp
ydiU	ydiUp
ydiV	ydiVp
ydiY	ydiYp11
ydiY	ydiYp12
ydiY	ydiYp6
ydjA-selD-topB	ydjAp
ydjE	ydjEp5
ydjE	ydjEp6
ydjF	ydjFp1
ydjF	ydjFp7
ydjM	ydjMp
ydjO	ydjOp10
ydjO	ydjOp4
ydjO	ydjOp7
ydjO	ydjOp9
ydjXYZ-ynjABCD	ydjXp1
ydjXYZ-ynjABCD	ydjXp5
yeaE	yeaEp
yeaGH	yeaGp1
yeaGH	yeaGp2
yeaI	yeaIp5
yeaI	yeaIp6
yeaJ	yeaJp6
yeaL	yeaLp
yeaM	yeaMp1
yeaM	yeaMp6
yeaN	yeaNp4
yeaN	yeaNp9
yeaO	yeaOp3
yeaO	yeaOp4
yeaP	yeaPp
yeaP	yeaPp3
yeaQ	yeaQp1
yeaQ	yeaQp3
yeaR-yoaG	yeaRp
yeaY	yeaYp
mepM	yebAp1
mepM	yebAp5
mepM	yebAp6
yebB	yebBp1
yebB	yebBp2
yebC-ruvC	yebCp
yebE	yebEp
yebG	yebGp
yebK	yebKp2
yebQ	yebQp4
yebQ	yebQp5
yebST	yebSp5
yebST	yebSp6
yebV	yebVp1
yebV	yebVp2
yebV	yebVp5
yebV	yebVp6
yebW	yebWp3
yebW	yebWp6
yecC	yecCp3
yecDE	yecDp4
yecDE	yecDp7
yecDE	yecDp8
yecF	yecFp
yecH	yecHp3
yecH	yecHp5
yecJ	yecJp4
yecM	yecMp2
yecM	yecMp3
yecR	yecRp
yecT	yecTp3
yedD	yedDp5
yedEF	yedEp8
yedI	yedIp2
yedI	yedIp3
yedJ	yedJp3
yedJ	yedJp4
yedV	yedVp6
yedYZ	yedYp4
yeeA	yeeAp6
yeeED	yeeEp
plaP	yeeFp2
yeeJ	yeeJp8
yeeN	yeeNp4
yeeN	yeeNp7
yeeO	yeeOp1
yeeO	yeeOp6
yeeO	yeeOp7
yeeX	yeeXp4
yeeZ	yeeZp5
yeeZ	yeeZp7
yefM-yoeB	yefMp
yegD	yegDp2
yegH	yegHp
yegI	yegIp7
yegI	yegIp8
yegI	yegIp9
yegJ	yegJp7
yegJ	yegJp8
yegQ	yegQp1
yegRZ	yegRp
yegS	yegSp5
yegS	yegSp6
yegS	yegSp7
yegS	yegSp8
yegTUV	yegTp
yegW	yegWp
yegX	yegXp1
yegX	yegXp6
yehA	yehAp6
yehE	yehEp1
yehE	yehEp7
yehE	yehEp8
yehK	yehKp1
yehLMPQ	yehLp3
yehR	yehRp
yehS	yehSp
yeiB	yeiBp2
yeiE	yeiEp5
yeiE	yeiEp6
yeiE	yeiEp7
yeiG	yeiGp6
yeiH	yeiHp7
yeiI	yeiIp2
yeiL	yeiLp
yeiP	yeiPp
yeiQ	yeiQp5
yeiQ	yeiQp6
yeiR-lpxT	yeiRp3
preTA	yeiTp
yeiW	yeiWp
yeiW	yeiWp6
yeiW	yeiWp7
yejABEF	yejAp
yejG	yejGp5
yejG	yejGp8
yejH	yejHp
yejK	yejKp5
yejO	yejOp
yfaD-ypaA	yfaDp5
yfaE	yfaEp1
yfaE	yfaEp2
yfaL	yfaLp1
yfaL	yfaLp3
yfaL	yfaLp7
yfaL	yfaLp8
yfaP	yfaPp4
yfaY	yfaYp
yfaZ	yfaZp4
yfaZ	yfaZp5
yfbK	yfbKp3
yfbK	yfbKp7
yfbL	yfbLp10
yfbL	yfbLp3
yfbL	yfbLp5
yfbL	yfbLp7
yfbL	yfbLp9
yfbN	yfbNp1
yfbN	yfbNp8
yfbO	yfbOp1
yfbO	yfbOp5
yfbO	yfbOp6
yfbP	yfbPp7
yfbR	yfbRp3
yfbR	yfbRp4
yfcD	yfcDp
yfcE	yfcEp
yfcI	yfcIp7
yfcI	yfcIp8
yfcJ	yfcJp2
yfcL	yfcLp5
yfcV	yfcVp6
yfcV	yfcVp7
yfcV	yfcVp8
yfcV	yfcVp9
yfcZ	yfcZp
yfdF	yfdFp4
yfdF	yfdFp7
yfdF	yfdFp8
yfdF	yfdFp9
yfdGHI	yfdGp4
yfdPQ	yfdPp5
yfdPQ	yfdPp6
yfdPQ	yfdPp9
yfdX-frc-oxc-yfdVE	yfdXp
yfdY	yfdYp5
yfdY	yfdYp6
yfeA	yfeAp5
yfeA	yfeAp6
yfeCD	yfeCp
yfeCD	yfeCp3
yfeCD	yfeCp4
yfeCD	yfeCp5
yfeH	yfeHp3
yfeH	yfeHp5
yfeKS	yfeKp
yfeO	yfeOp1
yfeR	yfeRp1
yfeX	yfeXp3
yfeX	yfeXp5
yfeYX	yfeYp
yfeZ	yfeZp3
yffB-dapE-ypfN	yffBp
yffOP	yffOp
yffOP	yffOp1
yffOP	yffOp7
yffOP	yffOp8
yffQR	yffQp1
yffQR	yffQp3
yffS	yffSp4
yfgF	yfgFp
yfgG	yfgGp
yfgG	yfgGp5
yfgG	yfgGp6
yfgG	yfgGp7
yfgHI	yfgHp10
yfgM	yfgMp1
yfgM	yfgMp2
yfgM	yfgMp3
yfhH	yfhHp5
yfhL	yfhLp
yfhM-pbpC	yfhMp
yfhR	yfhRp2
yfhR	yfhRp4
yfiC	yfiCp3
grcA	yfiDp
yfiE	yfiEp7
yfiL	yfiLp10
yfiL	yfiLp8
yfiL	yfiLp9
yfiM	yfiMp2
yfiRN	yfiRp3
yfiRNB	yfiRp5
yfiRN	yfiRp6
yfiRN	yfiRp7
yfiRN	yfiRp8
yfjH	yfjHp2
yfjH	yfjHp3
yfjI	yfjIp10
yfjI	yfjIp3
yfjI	yfjIp8
yfjI	yfjIp9
yfjJ	yfjJp6
yfjM	yfjMp3
yfjPQ	yfjPp5
yfjPQ	yfjPp6
yfjPQ	yfjPp8
yfjW	yfjWp5
yfjXY-ypjJ-yfjZ-ypjF	yfjXp2
ygaC	ygaCp
ygaM	ygaMp
ygaU	ygaUp4
ygaZH	ygaZp8
ygbA	ygbAp
ygbE	ygbEp3
cas2	ygbFp
ygbI	ygbIp5
ygbI	ygbIp6
ygbK	ygbKp
ygbLM	ygbLp4
ygbLM	ygbLp5
ygbN	ygbNp2
ygcG	ygcGp6
ygcG	ygcGp7
ygcNOP	ygcNp3
ygcU	ygcUp5
ygcW	ygcWp11
ygcW	ygcWp12
ygdD	ygdDp2
ygdG	ygdGp2
ygdI	ygdIp10
ygdI	ygdIp7
ygdQ	ygdQp3
ygdR	ygdRp5
ygeA	ygeAp5
ygeH	ygeHp10
ygeI	ygeIp6
ygeI	ygeIp7
ygeI	ygeIp8
ygeR	ygeRp1
ygeV	ygeVp
ygeW	ygeWp1
ygeW	ygeWp5
ygeW	ygeWp6
ygfB-pepP-ubiHI	ygfBp
ygfK-ssnA	ygfKp
ygfS	ygfSp5
uacT	ygfUp6
ygfZ	ygfZp
yggC	yggCp1
yggDC	yggDp
yggE	yggEp1
yggE	yggEp2
yggI	yggIp3
yggI	yggIp4
yggI	yggIp5
yggI	yggIp6
yggL	yggLp2
yggL	yggLp3
yggM	yggMp1
yggM	yggMp3
yggM	yggMp4
yggN	yggNp1
yggN	yggNp2
yggN	yggNp2b
yggX	yggXp
yggX-mltC	yggXp
yggX-mltC-nupG	yggXp
yghA	yghAp5
yghB	yghBp
yghD	yghDp2
yghD	yghDp3
yghD	yghDp4
yghF	yghFp
yghJ	yghJp5
yghJ	yghJp6
yghJ	yghJp7
yghQ	yghQp1
yghQ	yghQp6
yghQ	yghQp7
yghQ	yghQp8
yghT	yghTp10
yghT	yghTp11
yghT	yghTp14
yghT	yghTp4
yghT	yghTp5
yghT	yghTp7
yghT	yghTp8
yghU	yghUp
yghW	yghWp6
ygiD	ygiDp2
ygiD	ygiDp3
ygiL	ygiLp4
ygiL	ygiLp5
ygiM	ygiMp
ygiM-cca	ygiMp2
ygiN	ygiNp2
ygiQ	ygiQp1
ygiQ	ygiQp5
ygiS	ygiSp4
ygiV	ygiVp2
ygiV	ygiVp3
ygiW	ygiWp5
ygiW	ygiWp6
ygiW	ygiWp7
ygiZ	ygiZp3
ygjH	ygjHp3
ygjH	ygjHp4
ygjI	ygjIp1
ygjI	ygjIp2
ygjQ	ygjQp3
ygjQ	ygjQp4
ygjQ	ygjQp5
ygjQ	ygjQp6
ygjR	ygjRp
ygjV	ygjVp4
yhaBC	yhaBp3
yhaH	yhaHp7
yhaH	yhaHp8
yhaI	yhaIp10
yhaI	yhaIp11
yhaI	yhaIp12
yhaI	yhaIp9
yhaJ	yhaJp4
yhaJ	yhaJp7
yhaKL	yhaKp3
yhaKL	yhaKp4
yhaKL	yhaKp5
yhbQ	yhbQp2
yhbTS	yhbTp1
yhbTS	yhbTp2
yhbUV	yhbUp1
yhbUV	yhbUp5
yhbUV	yhbUp7
yhbX	yhbXp6
yhbY	yhbYp
yhcAD-ychE_1	yhcAp1
yhcAD-ychE_1	yhcAp11
yhcAD-ychE_1	yhcAp9
yhcB	yhcBp
yhcC	yhcCp6
yhcC	yhcCp8
yhcF	yhcFp1
yhcF	yhcFp4
yhcF	yhcFp5
yhcH	yhcHp2
yhcM	yhcMp1
yhcM	yhcMp4
yhcN	yhcNp5
yhcN	yhcNp6
yhcO	yhcOp1
yhcO	yhcOp3
yhdH	yhdHp1
yhdH	yhdHp6
yhdJ	yhdJp2
yhdN-zntR	yhdNp
yhdT-panF-prmA	yhdTp
yhdU	yhdUp1
yhdV	yhdVp9
yhdWXYZ	yhdWp
yheO-tusDCB	yheOp1
yheO-tusDCB	yheOp2
yheV	yheVp1
yhfA	yhfAp
yhfG-fic-pabA	yhfGp
yhfK	yhfKp
yhfL	yhfLp4
yhfL	yhfLp5
yhfL	yhfLp7
yhfL	yhfLp8
yhfY	yhfYp1
yhfY	yhfYp3
yhgA	yhgAp6
yhgE	yhgEp6
yhgE	yhgEp7
yhgE	yhgEp9
yhgF	yhgFp2
yhhA	yhhAp4
yhhA	yhhAp6
yhhI	yhhIp6
yhhJ	yhhJp3
yhhM	yhhMp1
yhhM	yhhMp4
yhhN	yhhNp4
yhhN	yhhNp6
yhhQ	yhhQp5
yhhT	yhhTp4
yhhX	yhhXp4
yhhX	yhhXp5
yhhY	yhhYp
yhhZ-yrhA-insAB-6A-6B-6	yhhZp5
yhhZ-yrhA-insAB-6A-6B-6	yhhZp7
yhiD	yhiDp1
yhiD	yhiDp8
yhiJ	yhiJp6
yhiL	yhiLp
yhiM	yhiMp
yhiM	yhiMp10
yhiM	yhiMp11
yhiM	yhiMp9
yhiN	yhiNp6
yhjA	yhjAp
yhjB	yhjBp4
yhjC	yhjCp
yhjD	yhjDp5
yhjE	yhjEp8
yhjE	yhjEp9
yhjG	yhjGp
yhjH	yhjHp
yhjJ	yhjJp
yhjK	yhjKp2
yhjR	yhjRp10
yhjR	yhjRp11
yhjR	yhjRp12
yhjR	yhjRp13
yhjR	yhjRp5
yhjV	yhjVp3
yhjX	yhjXp
yhjX	yhjXp5
yhjX	yhjXp6
yhjY	yhjYp9
yiaA	yiaAp
yiaB	yiaBp1
yiaB	yiaBp5
yiaB	yiaBp6
yiaD	yiaDp3
yiaD	yiaDp4
yiaF	yiaFp
yiaG	yiaGp
yiaJ	yiaJp
yiaKLMNO-lyxK-sgbHUE	yiaKp
yiaKLMNO-lyxK-sgbHUE	yiaKp2
yiaT	yiaTp3
yiaT	yiaTp4
yiaT	yiaTp6
yiaT	yiaTp8
yiaU	yiaUp11
yiaU	yiaUp8
yiaU	yiaUp9
yiaY	yiaYp4
yiaY	yiaYp6
yiaY	yiaYp7
yibA	yibAp
htrL	yibBp6
htrL	yibBp8
htrL	yibBp9
waaH	yibDp1
yibF	yibFp
yibG	yibGp6
yibL	yibLp6
yibN	yibNp7
yibT	yibTp5
yibT	yibTp7
yicC	yicCp
yicH	yicHp
yicJI	yicJp
yicN	yicNp4
adeQ	yicOp1
adeQ	yicOp10
adeQ	yicOp11
adeQ	yicOp5
yicR-rpmBG	yicRp
yicR-rpmBG-mutM	yicRp
yidB	yidBp3
yidE	yidEp6
yidF	yidFp5
yidQ	yidQp
yidR	yidRp2
yieEF	yieEp
yieH	yieHp4
yieH	yieHp6
yieK	yieKp2
yieK	yieKp3
yifB	yifBp6
yifB	yifBp8
yifB	yifBp9
yifL-dapF-yigA-xerC-yigB	yifLp
yigF	yigFp4
yigF	yigFp5
yigI	yigIp
yigM	yigMp3
yihA	yihAp9
yihD	yihDp
yihF	yihFp1
yihF	yihFp4
yihF	yihFp6
yihG	yihGp
yihI	yihIp
yihLM	yihLp1
yihLM	yihLp2
yihLM	yihLp4
yihLM	yihLp5
yihN	yihNp5
yihO	yihOp3
yihQ	yihQp1
yihQ	yihQp6
yihQ	yihQp8
yihVW	yihVp3
yihVW	yihVp4
yihVW	yihVp6
yihXY-dtd-yiiD	yihXp
yiiE	yiiEp5
yiiE	yiiEp7
yiiF	yiiFp7
yiiF	yiiFp8
yiiG	yiiGp7
yiiG	yiiGp8
yiiM	yiiMp4
yiiM	yiiMp5
yiiQ	yiiQp4
yiiS-uspD	yiiSp
yijE	yijEp5
yijF	yijFp5
yijO	yijOp5
eptC	yijPp9
yjaA	yjaAp3
yjaA	yjaAp4
yjaB	yjaBp
yjaG	yjaGp4
yjaH	yjaHp1
yjaZ	yjaZp
yjbB	yjbBp
yjbE	yjbEp1
yjbEFGH	yjbEp1
yjbEFGH	yjbEp2
yjbLM	yjbLp5
yjbQR	yjbQp
yjcB	yjcBp
yjcC	yjcCp
ghxP	yjcDp
ghxP	yjcDp5
ghxP	yjcDp6
ghxP	yjcDp7
yjcE	yjcEp7
yjcE	yjcEp8
yjcF	yjcFp6
yjcO	yjcOp2
yjcO	yjcOp3
yjcO	yjcOp4
yjcO	yjcOp5
yjcS	yjcSp
crfC-yjcZ	yjdAp1
crfC-yjcZ	yjdAp2
yjdC	yjdCp
ghoST	yjdKp3
yjdL	yjdLp1
yjdL	yjdLp2
yjdL	yjdLp3
yjdL	yjdLp4
yjdM	yjdMp5
yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC	yjeFp1
yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC	yjeFp2
yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC	yjeFp3
yjeI	yjeIp
yjeJ	yjeJp6
yjeJ	yjeJp7
yjeV	yjeVp
yjfKLMC	yjfKp
yjfP	yjfPp4
yjfP	yjfPp5
yjfY	yjfYp2
yjfZ	yjfZp7
yjfZ	yjfZp8
yjgA	yjgAp11
yjgA	yjgAp5
yjgA	yjgAp8
yjgA	yjgAp9
ahr	yjgBp10
ahr	yjgBp5
ahr	yjgBp8
ahr	yjgBp9
yjgL	yjgLp2
yjgM	yjgMp10
yjgN	yjgNp3
yjgN	yjgNp6
yjgN	yjgNp7
yjgR	yjgRp3
yjgZ	yjgZp1
yjhBC	yjhBp2
yjhBC	yjhBp4
yjhBC	yjhBp5
yjhBC	yjhBp7
yjhG	yjhGp3
yjhG	yjhGp4
yjhIHG	yjhIp
yjhU	yjhUp1
yjhU	yjhUp8
yjhU	yjhUp9
yjiA	yjiAp6
yjiA	yjiAp7
yjiJ	yjiJp4
yjiK	yjiKp6
yjiK	yjiKp7
yjiK	yjiKp9
yjiL	yjiLp2
yjiL	yjiLp3
yjiS	yjiSp3
yjiS	yjiSp4
yjiT	yjiTp
yjiXA	yjiXp
yjiY	yjiYp
yjiY	yjiYp3
yjjA	yjjAp1
yjjA	yjjAp8
yjjB-dnaTC	yjjBp
yjjB-dnaTC-yjjA	yjjBp
yjjJ	yjjJp2
yjjJ	yjjJp4
ettA	yjjKp11
yjjL	yjjLp5
yjjL	yjjLp6
yjjL	yjjLp7
yjjL	yjjLp8
yjjM	yjjMp4
yjjP	yjjPp
yjjQ-bglJ	yjjQp
yjjX	yjjXp5
yjjX	yjjXp6
yjjY	yjjYp6
yjjZ	yjjZp
yjtD	yjtDp6
yjtD	yjtDp8
ykfBF-yafX-ykfGH-yafW-ykfI	ykfBp1
ykfBF-yafX-ykfGH-yafW-ykfI	ykfBp2
ykfGH-yafW-ykfI	ykfGp
ykfI	ykfIp7
rclC	ykgBp10
rclC	ykgBp3
