TU	BindingSite
leuO	ECK125141932
leuO	ECK125141924
leuO	ECK125141924
casABCDE12	ECK125110253
casABCDE12	ECK125141928
casABCDE12	ECK125141926
casABCDE12	ECK125110255
bglG	ECK125109446
bglGFB	ECK125109446
bglG	ECK125141930
bglGFB	ECK125141930
insK	ECK120011222
uvrC	ECK120011222
polB	ECK120015626
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	ECK120033346
dinJ-yafQ	ECK120051321
dinB-yafNOP	ECK120051386
yafNOP	ECK125108646
hokE	ECK120048810
ybfE	ECK120048814
phr	ECK120016101
phr	ECK120013837
uvrB	ECK120012901
dinG	ECK120015620
ftsK	ECK120015628
sulA	ECK120012890
dinI	ECK120048804
umuDC	ECK120016145
umuDC	ECK120016106
ydjM	ECK120033008
ydjM	ECK120019275
cho	ECK120048812
yebG	ECK120048802
ruvAB	ECK120015705
ruvAB	ECK120015709
ruvAB	ECK120015711
ruvAB	ECK120015707
uvrYC	ECK120019276
sbmC	ECK120048806
molR_1	ECK120019269
recN	ECK120015769
recN	ECK120015767
recA	ECK120012875
recAX	ECK120012875
ptrA	ECK125162208
ptrA-recBD	ECK125162208
rpsU-dnaG-rpoD	ECK120013419
dinQ	ECK120019273
dinQ	ECK125160693
dinD	ECK120048800
tisB	ECK120015229
uvrD	ECK120012903
lexA-dinF	ECK120015969
lexA-dinF	ECK120012772
lexA-dinF	ECK120012774
ssb	ECK120012898
uvrA	ECK120012898
symE	ECK120033006
lldPRD	ECK120034579
lldPRD	ECK120034579
lldPRD	ECK120013832
fimE	ECK120011222
lrhA	ECK120011222
flhDC	ECK120017150
fimE	ECK120011222
livKHMGF	ECK120011222
malT	ECK120011222
aidB	ECK120011222
sdaA	ECK120011222
serA	ECK120011222
csiD-lhgO-gabDTP	ECK120011222
serA	ECK120011222
rrsC-gltU-rrlC-rrfC	ECK120011222
rrsE-gltV-rrlE-rrfE	ECK120011222
rrsG-gltW-rrlG-rrfG	ECK120011222
rrsH-ileV-alaV-rrlH-rrfH	ECK120011222
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	ECK120011222
avtA	ECK120011222
lysP	ECK120011222
cadBA	ECK120011222
alaA	ECK120011222
ssrS	ECK120011222
ssrS-fau	ECK120011222
ssrS	ECK120011222
ssrS-fau	ECK120011222
ilvIH	ECK120012931
ilvIH	ECK120012931
ilvIH	ECK120012933
ilvIH	ECK120012933
ilvIH	ECK120012935
ilvIH	ECK120012935
ilvIH	ECK120012937
ilvIH	ECK120012937
ilvIH	ECK120012939
ilvIH	ECK120012939
ilvIH	ECK120012941
ilvIH	ECK120012941
lrp	ECK120013400
lrp	ECK120035018
lrp	ECK120035020
lrp	ECK120013168
serC	ECK120012411
serC-aroA	ECK120012411
dadAX	ECK125141480
dadAX	ECK125141480
dadAX	ECK125141480
dadAX	ECK125141481
dadAX	ECK125141481
dadAX	ECK125141481
dadAX	ECK125141482
dadAX	ECK125141482
dadAX	ECK125141482
dadAX	ECK125141483
dadAX	ECK125141483
dadAX	ECK125141483
dadAX	ECK125141484
dadAX	ECK125141484
dadAX	ECK125141484
dadAX	ECK125141485
dadAX	ECK125141485
dadAX	ECK125141485
dadAX	ECK120013914
dadAX	ECK120013914
dadAX	ECK120013914
dadAX	ECK120013918
dadAX	ECK120013918
dadAX	ECK120013918
dadAX	ECK120013922
dadAX	ECK120013922
dadAX	ECK120013922
dadAX	ECK120013926
dadAX	ECK120013926
dadAX	ECK120013926
dadAX	ECK120013930
dadAX	ECK120013930
dadAX	ECK120013930
adhE	ECK120035010
adhE	ECK120035008
adhE	ECK120035006
oppABCDF	ECK120013273
osmC	ECK120011386
osmC	ECK120011386
leuE	ECK125160687
leuE	ECK125160685
leuE	ECK125160683
leuE	ECK125160681
yeiL	ECK120013659
yojI	ECK120048918
yojI	ECK120048920
yojI	ECK120048922
yojI	ECK120048924
yojI	ECK120048926
yojI	ECK120048928
ompC	ECK120013843
ompC	ECK120013843
ompC	ECK120013843
ompC	ECK120016176
ompC	ECK120016176
ompC	ECK120013839
ompC	ECK120013849
ompC	ECK120013849
ompC	ECK120013849
ompC	ECK120013871
ompC	ECK120013871
ompC	ECK120013853
ompC	ECK120016192
ompC	ECK120016192
ompC	ECK120011632
ompC	ECK120011632
micF	ECK120011632
ompC	ECK120011632
ompC	ECK120011637
ompC	ECK120011637
micF	ECK120011637
ompC	ECK120011637
ompC	ECK120011648
ompC	ECK120011648
micF	ECK120011648
ompC	ECK120011648
ompC	ECK120016195
ompC	ECK120016195
micF	ECK120011642
ompC	ECK120016195
stpA	ECK120013353
stpA	ECK120013351
stpA	ECK120013349
gcvTHP	ECK120013501
argO	ECK125108671
argO	ECK125108673
argO	ECK125108675
gltBDF	ECK120013170
gltBDF	ECK120013884
gltBDF	ECK120013886
gltBDF	ECK120035022
livJ	ECK120013172
hdeAB-yhiD	ECK120034483
hdeAB-yhiD	ECK120034485
hdeAB-yhiD	ECK120034487
hdeAB-yhiD	ECK120034489
hdeAB-yhiD	ECK120034491
hdeAB-yhiD	ECK120034493
kbl-tdh	ECK120012947
kbl-tdh	ECK120013277
ilvL	ECK120013980
ilvLXG_1G_2MEDA	ECK120013980
ilvL	ECK120013978
ilvLXG_1G_2MEDA	ECK120013978
ilvL	ECK120013976
ilvLXG_1G_2MEDA	ECK120013976
rrsA-ileT-alaT-rrlA-rrfA	ECK125145826
rrsA-ileT-alaT-rrlA-rrfA	ECK120020741
rrsB-gltT-rrlB-rrfB	ECK120020742
rrsB-gltT-rrlB-rrfB	ECK125145822
rrsB-gltT-rrlB-rrfB	ECK125145824
lysU	ECK120013269
fimAICDFGH	ECK120013765
fimAICDFGH	ECK120013763
fimAICDFGH	ECK120013767
osmY	ECK120011810
osmY	ECK120011808
lsrACDBFG-tam	ECK120011222
lsrRK	ECK120011222
lysA	ECK120011222
lysR	ECK120011222
malI	ECK120013517
malXY	ECK120013408
malZ	ECK120012225
malZ	ECK120012223
malZ	ECK120012221
malPQ	ECK120012790
malPQ	ECK120012788
malPQ	ECK120012381
malPQ	ECK120012383
malS	ECK120012369
malS	ECK120012367
malS	ECK120013179
malEFG	ECK120012782
malK-lamB-malM	ECK120012782
malEFG	ECK120012371
malK-lamB-malM	ECK120012371
malEFG	ECK120016486
malK-lamB-malM	ECK120016486
malEFG	ECK120012460
malK-lamB-malM	ECK120012460
malEFG	ECK120012785
malK-lamB-malM	ECK120012785
putA	ECK120011222
ybaO	ECK120035046
acrAB	ECK120011427
nfsB	ECK125110176
acrZ	ECK125158232
ybjC-nfsA-rimK-ybjN	ECK125110166
poxB	ECK120011416
pqiAB	ECK120011423
acnA	ECK125110170
yncE	ECK125110174
marRAB	ECK120011192
fumC	ECK120013185
zwf	ECK120013181
nfo	ECK120013187
micF	ECK120017109
inaA	ECK120011421
tolC-ygiABC	ECK120035034
tolC-ygiABC	ECK120035034
slp-dctR	ECK120011585
hdeAB-yhiD	ECK120016808
waaYZ	ECK120051369
sodA	ECK120013189
fpr	ECK120013183
purA	ECK120016806
rob	ECK125145846
marRAB	ECK120030315
marRAB	ECK120017169
flhDC	ECK120011222
flhDC	ECK120011222
ecpA	ECK120011222
ecpR	ECK120011222
fliAZY	ECK120011222
fliC	ECK120011222
mazEFG	ECK125140739
mazEFG	ECK125140739
mazEFG	ECK125140741
mazEFG	ECK125140741
mazEFG	ECK125140745
mazEFG	ECK125140745
mazEFG	ECK125140741
mazEFG	ECK125140741
mcbA	ECK120011222
yciG	ECK125134652
yciGFE	ECK125134652
yciG	ECK125134650
yciGFE	ECK125134650
melR	ECK120016174
melAB	ECK120016174
melR	ECK120013742
melAB	ECK120013742
melR	ECK120013740
melAB	ECK120013740
melR	ECK120012349
melAB	ECK120012349
melAB	ECK120012349
melR	ECK120013194
melAB	ECK120013194
metC	ECK120011222
metNIQ	ECK120011475
metNIQ	ECK120011477
ahpCF	ECK120011832
ahpCF	ECK120011834
folE-yeiB	ECK120048847
folE-yeiB	ECK120048845
folE-yeiB	ECK120048843
folE-yeiB	ECK120048841
metK	ECK120011828
metK	ECK120011830
metE	ECK120015717
metR	ECK120015717
metR	ECK120015717
metE	ECK120015721
metR	ECK120015721
metR	ECK120015721
metBL	ECK120011836
metBL	ECK120011840
metBL	ECK120011838
metBL	ECK120011844
metBL	ECK120011842
metBL	ECK120011846
metF	ECK120012796
metF	ECK120011848
metF	ECK120012798
metF	ECK120011852
metF	ECK120011850
metF	ECK120011854
metF	ECK120012800
metA	ECK120012792
metA	ECK120012794
glyA	ECK120013513
hmp	ECK120013197
glyA	ECK120013197
metE	ECK120016499
metR	ECK120016499
metR	ECK120016499
metE	ECK125141234
metR	ECK125141234
metR	ECK125141234
metH	ECK120012805
mhpABCDFE	ECK120011485
ptsG	ECK120011244
ptsG	ECK120011242
mlc	ECK120014107
mlc-ynfK	ECK120014107
manXYZ	ECK120013416
manXYZ	ECK120015755
ptsHI-crr	ECK125134900
malT	ECK120014113
csgDEFG	ECK125134667
rplU-rpmA	ECK125134671
ibaG	ECK125134673
cadC	ECK125134669
mngR	ECK120013375
mngAB	ECK120013375
mngR	ECK120013373
mngAB	ECK120013373
dps	ECK125141142
rybA-mntS	ECK125140767
rybA-mntS	ECK125140765
mntP	ECK125140757
mntP	ECK125140759
mntH	ECK120017053
oppABCDF	ECK120011222
modABC	ECK120015804
moaABCDE	ECK120020649
dmsABC	ECK120015802
narXL	ECK120015806
napFDAGHBC-ccmABCDEFGH	ECK120016481
napFDAGHBC-ccmABCDEFGH	ECK120016481
hycABCDEFGHI	ECK120015823
deoCABD	ECK120020745
acrAB	ECK120035038
nmpC	ECK120035036
mprA-emrAB	ECK120018545
cspD	ECK125158201
cspD	ECK125158199
rpoS	ECK125141223
mqsRA	ECK125141137
mqsRA	ECK125135084
mtlADR	ECK120011222
murQP	ECK120048909
murQP	ECK120048909
murQP	ECK120048828
murQP	ECK120048828
murR	ECK125108735
gltBDF	ECK120011222
nupC	ECK120011222
codBA	ECK120011745
feaR	ECK125162245
ydcSTUV-patD	ECK125161318
gdhA	ECK120011278
gdhA	ECK120011276
gdhA	ECK120011274
gdhA	ECK120011280
nac	ECK120011267
gabDTP	ECK120011432
serA	ECK120029430
serA	ECK120029432
asnC	ECK120011286
asnC-mioC	ECK120011286
asnC-mioC-mnmG	ECK120011286
asnC	ECK120011282
asnC-mioC	ECK120011282
asnC-mioC-mnmG	ECK120011282
asnC	ECK120011284
asnC-mioC	ECK120011284
asnC-mioC-mnmG	ECK120011284
nadB	ECK120011222
pncB	ECK120011222
nadA-pnuC	ECK120011222
nagBAC-umpH	ECK120011913
nagE	ECK120011913
nagBAC-umpH	ECK120011910
nagE	ECK120011910
chiP-ybfN	ECK125134894
dinI	ECK125134904
ydeN	ECK125147067
ydeN	ECK125147069
ydeP	ECK125134906
chbBCARFG	ECK120012042
chbBCARFG	ECK120012044
manXYZ	ECK120016170
manXYZ	ECK120013206
ptsHI-crr	ECK125134900
ptsHI-crr	ECK125134900
ptsHI-crr	ECK125134900
galP	ECK120048747
feoABC	ECK125134912
glmUS	ECK120013590
glmUS	ECK120013590
glmUS	ECK120013593
glmUS	ECK120013593
nanCM	ECK120012577
nanCMS	ECK120012577
fimB	ECK120012577
nanCM	ECK120012579
nanCMS	ECK120012579
fimB	ECK120012579
creABCD	ECK125134902
nanA	ECK120012565
nanATEK-yhcH	ECK120012565
nanA	ECK120012563
nanATEK-yhcH	ECK120012563
nanA	ECK120012561
nanATEK-yhcH	ECK120012561
yjhBC	ECK125162229
yjhBC	ECK125162231
yjhBC	ECK125162233
nanCM	ECK120012573
nanCMS	ECK120012573
fimB	ECK120012573
nanCM	ECK120012569
nanCMS	ECK120012569
fimB	ECK120012569
nanCM	ECK120012571
nanCMS	ECK120012571
fimB	ECK120012571
nikABCDER	ECK120011222
caiF	ECK120011222
fdhF	ECK120011222
torCAD	ECK120011222
ubiCA	ECK120011222
dpiBA	ECK125141251
citCDEFXG	ECK125141251
dpiBA	ECK125141246
moeAB	ECK120011882
moeAB	ECK120011884
hcp-hcr	ECK120017042
hcp-hcr	ECK120015580
cydDC	ECK120014156
cydDC	ECK120014154
dmsABC	ECK120012685
dmsABC	ECK120012687
dmsABC	ECK120012689
focA-pflB	ECK120016064
focA-pflB	ECK120016064
focA-pflB	ECK120013316
focA-pflB	ECK120013316
focA-pflB	ECK120013314
focA-pflB	ECK120013314
focA-pflB	ECK120016066
focA-pflB	ECK120016066
focA-pflB	ECK120016068
focA-pflB	ECK120016068
focA-pflB	ECK120016078
focA-pflB	ECK120016078
focA-pflB	ECK120013318
focA-pflB	ECK120013318
focA-pflB	ECK120016070
focA-pflB	ECK120016070
focA-pflB	ECK120016072
focA-pflB	ECK120016072
focA-pflB	ECK120016074
focA-pflB	ECK120016074
focA-pflB	ECK120016076
focA-pflB	ECK120016076
hyaABCDEF	ECK120015544
hyaABCDEF	ECK120015546
narK	ECK120015971
narK	ECK120012814
narK	ECK120015973
narK	ECK120015975
narK	ECK120015977
narK	ECK120016086
narK	ECK120012816
narK	ECK120015979
narK	ECK120015981
narK	ECK120015983
narGHJI	ECK120013682
narGHJI	ECK120012812
narGHJI	ECK120013678
narGHJI	ECK120013676
narGHJI	ECK120013680
narGHJI	ECK120013688
narGHJI	ECK120013686
narGHJI	ECK120013684
adhE	ECK120013999
adhE	ECK120013999
adhE	ECK120016091
adhE	ECK120016091
ogt	ECK120051332
ogt	ECK120051334
ogt	ECK120051336
ogt	ECK120051338
fdnGHI	ECK120013209
fdnGHI	ECK120013867
fdnGHI	ECK120013828
fdnGHI	ECK120013862
ynfEFGH-dmsD	ECK120051375
ynfEFGH-dmsD	ECK120051373
ydhYVWXUT	ECK125109440
ydhYVWXUT	ECK125109441
ydhYVWXUT	ECK120034564
ydhYVWXUT	ECK120034566
yeaR-yoaG	ECK120033338
yeaR-yoaG	ECK120033340
napFDAGHBC-ccmABCDEFGH	ECK120017043
napFDAGHBC-ccmABCDEFGH	ECK120017043
napFDAGHBC-ccmABCDEFGH	ECK120015556
napFDAGHBC-ccmABCDEFGH	ECK120015556
nuoABCEFGHIJKLMN	ECK120013429
norVW	ECK120015564
norVW	ECK120017044
hybOABCDEFG	ECK120016112
hybOABCDEFG	ECK120011514
hybOABCDEFG	ECK120011516
nirBDC-cysG	ECK120017045
nirBDC-cysG	ECK120015725
nrfABCDEFG	ECK120019261
nrfABCDEFG	ECK120015727
nrfABCDEFG	ECK120014039
nrfABCDEFG	ECK120014054
dcuB-fumB	ECK120014071
dcuB-fumB	ECK120016103
dcuB-fumB	ECK120014069
dcuB-fumB	ECK120014067
dcuB-fumB	ECK120014065
dcuB-fumB	ECK120014063
dcuSR	ECK120016448
dcuSR	ECK120016456
aspA	ECK120016450
aspA-dcuA	ECK120016450
aspA	ECK120016452
aspA-dcuA	ECK120016452
aspA	ECK120016454
aspA-dcuA	ECK120016454
frdABCD	ECK120016080
frdABCD	ECK120012698
frdABCD	ECK120012700
frdABCD	ECK120016082
frdABCD	ECK120016084
ytfE	ECK120033334
ytfE	ECK120033336
fdhF	ECK120011222
hcp-hcr	ECK120017042
hcp-hcr	ECK120015580
hyaABCDEF	ECK120015544
hyaABCDEF	ECK120015546
fdnGHI	ECK120013867
fdnGHI	ECK120013828
ydhYVWXUT	ECK120034560
ydhYVWXUT	ECK120034558
yeaR-yoaG	ECK120033338
yeaR-yoaG	ECK120033340
napFDAGHBC-ccmABCDEFGH	ECK120017043
napFDAGHBC-ccmABCDEFGH	ECK120017043
napFDAGHBC-ccmABCDEFGH	ECK120015556
napFDAGHBC-ccmABCDEFGH	ECK120015556
norVW	ECK120015564
norVW	ECK120017044
nirBDC-cysG	ECK120017045
nirBDC-cysG	ECK120015725
nrfABCDEFG	ECK120019261
nrfABCDEFG	ECK120015727
ytfE	ECK120033334
ytfE	ECK120033336
nemRA	ECK120035044
nemRA-gloA	ECK120035044
nhaAR	ECK125109818
nhaAR	ECK125110271
nhaAR	ECK125109817
nhaAR	ECK125109816
pgaABCD	ECK120030260
pgaABCD	ECK120030262
osmC	ECK120011381
nikABCDER	ECK120018543
norVW	ECK120016135
norR	ECK120016135
norVW	ECK120016133
norR	ECK120016133
norVW	ECK120016126
norR	ECK120016126
nrdAB-yfaE	ECK120033054
nrdAB-yfaE	ECK120033056
nrdHIEF	ECK120033060
nrdHIEF	ECK120033058
nrdDG	ECK120033064
nrdDG	ECK120033062
rybB	ECK120011222
aceEF	ECK120051492
dkgB	ECK125095378
dkgB	ECK125095380
mhpT	ECK125095384
hcp-hcr	ECK120033147
lrp	ECK125095354
ndh	ECK120051499
feaR	ECK120051484
feaB	ECK120051484
ydbD	ECK125095370
tehAB	ECK120016822
tehAB	ECK120051507
grxD	ECK125095366
mepH	ECK125095368
sodB	ECK120051505
sufABCDSE	ECK120051511
sufABCDSE	ECK120051509
thrS-infC	ECK125095360
thrS-infC-rpmI-rplT-pheMST-ihfA	ECK125095360
yeaE	ECK125095374
yeaR-yoaG	ECK120033341
fliAZY	ECK120051449
fliAZY	ECK120051449
fliAZY	ECK125095357
fliAZY	ECK125095357
cdd	ECK120051495
dsdC	ECK125095352
hmp	ECK120051486
hmp	ECK120016818
hmp	ECK120051488
pgpC-tadA	ECK125095376
bamE	ECK125095364
norR	ECK120051497
hycABCDEFGHI	ECK120051482
hypABCDE	ECK120051482
hypABCDE-fhlA	ECK120051482
ygbA	ECK120051501
ygbA	ECK120016820
ygbA	ECK120051503
tsgA	ECK125095362
waaH	ECK125095350
rfe-wzzE-rffEDGHCA-wzxE-rffT-wzyE-rffM	ECK125095382
nrfABCDEFG	ECK120033146
nrfABCDEFG	ECK120051490
ytfE	ECK120016816
bdcA	ECK125095372
cbl	ECK120011222
yeaGH	ECK120011222
potFGHI	ECK120011222
patA	ECK120011222
glnK-amtB	ECK120014036
glnHPQ	ECK120013509
glnHPQ	ECK120013507
glnHPQ	ECK120013139
glnHPQ	ECK120013511
rutABCDEFG	ECK125145832
rutABCDEFG	ECK120017116
ddpXABCDF	ECK125145830
ddpXABCDF	ECK120017117
astCADBE	ECK120011664
astCADBE	ECK120011666
astCADBE	ECK120011668
nac	ECK120011272
argT-hisJQMP	ECK125145828
argT-hisJQMP	ECK120017120
patA	ECK120011656
yhdWXYZ	ECK120017118
yhdWXYZ	ECK125145834
glnLG	ECK120012725
glnA	ECK120016427
glnALG	ECK120016427
glnA	ECK120016427
glnALG	ECK120016427
glnA	ECK120016424
glnALG	ECK120016424
glnA	ECK120016424
glnALG	ECK120016424
glnA	ECK120013290
glnALG	ECK120013290
glnA	ECK120013290
glnALG	ECK120013290
glnA	ECK120012723
glnALG	ECK120012723
glnA	ECK120012723
glnALG	ECK120012723
glnA	ECK120012364
glnALG	ECK120012364
glnA	ECK120012364
glnALG	ECK120012364
sra	ECK120011222
bolA	ECK120011581
nmpC	ECK120013826
ompF	ECK120011790
ompF	ECK120011788
ompF	ECK120012844
ompF	ECK120011786
csgDEFG	ECK120013346
tppB	ECK120020632
flhDC	ECK120013474
flhDC	ECK120013472
ompC	ECK120012836
micF	ECK120012836
ompC	ECK120012834
micF	ECK120012834
ompC	ECK120012832
micF	ECK120012832
fadL	ECK120013323
fadL	ECK120013325
fadL	ECK120013327
fadL	ECK120013329
omrA	ECK120023297
omrB	ECK120023298
ecnB	ECK120034997
gor	ECK120011222
hcp-hcr	ECK120011222
hemH	ECK125108947
hemH	ECK120029573
ahpCF	ECK120051436
ahpCF	ECK125108962
dsbG	ECK125108945
ahpCF	ECK125108945
ahpCF	ECK120012907
dsbG	ECK120012907
uof-fur	ECK125108969
uof-fur	ECK120011304
dps	ECK120013217
dps	ECK125108971
grxA	ECK120014079
ybjC-nfsA-rimK-ybjN	ECK120014079
grxA	ECK125108957
ybjC-nfsA-rimK-ybjN	ECK125108957
ychF	ECK125160691
ychF	ECK125160689
sufABCDSE	ECK120012429
sufABCDSE	ECK125108949
flu	ECK125108973
flu	ECK120011547
mntH	ECK120051432
mntH	ECK125108975
trxC	ECK120011583
trxC	ECK125108977
yhjA	ECK125108979
yhjA	ECK120031749
katG	ECK125108981
katG	ECK120012756
oxyR	ECK125109040
oxyS	ECK125109040
oxyR	ECK125109042
oxyS	ECK125109042
uxuAB	ECK125108953
gntP	ECK125108953
uxuAB	ECK125108951
gntP	ECK125108951
fhuF	ECK125108965
fhuF	ECK120051430
fhuF	ECK120051428
fhuF	ECK125108967
paaZ	ECK120011573
paaABCDEFGHIJK	ECK120011565
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	ECK125141274
pdhR-aceEF-lpd	ECK120017175
hemL	ECK120033894
cyoABCDE	ECK120033890
tomB-hha	ECK120033892
lipA	ECK125134677
ndh	ECK120033888
grcA	ECK120017074
glcDEFGBA	ECK125141272
fecABCDE	ECK120030690
carAB	ECK120020636
carAB	ECK120020641
pepA	ECK120051346
ycjY	ECK125158272
ycjY-ymjDC-mpaA	ECK125158272
phnCDE_1E_2FGHIJKLMNOP	ECK120011222
pitB	ECK120011222
yedX	ECK120011222
yhjC	ECK120011222
yegH	ECK120011222
phoQ	ECK120011222
phoU	ECK120011222
ompF	ECK120011222
gadX	ECK120011222
gadXW	ECK120011222
tktB	ECK120011222
adiC	ECK120011222
cra	ECK120011222
phoE	ECK120012955
phoE	ECK120012953
phoE	ECK120012951
prpR	ECK125158258
phoA-psiF	ECK120012850
phoBR	ECK120012852
sbcDC	ECK120012852
cusCFBA	ECK125158250
cusRS	ECK125158250
phoH	ECK120013668
feaR	ECK125158256
ydfH	ECK125158248
asr	ECK120011374
mipA	ECK125158245
eda	ECK120015254
amn	ECK120033041
argP	ECK120011308
ugpBAECQ	ECK120016530
ugpBAECQ	ECK120012417
ugpBAECQ	ECK120012417
ugpBAECQ	ECK120016536
waaH	ECK120033045
waaH	ECK120033043
pstS	ECK120013220
pstSCA	ECK120013220
pstSCAB-phoU	ECK120013220
pstS	ECK120013478
pstSCA	ECK120013478
pstSCAB-phoU	ECK120013478
psiE	ECK120011450
psiE	ECK120011448
glgAP	ECK120011222
hemL	ECK120015663
acrAB	ECK120016243
borD	ECK120015654
ompT	ECK125109310
pagP	ECK120015665
nagA	ECK120015661
ybjG	ECK120015667
rutABCDEFG	ECK120019260
phoPQ	ECK120011500
phoPQ	ECK120011500
iraM	ECK125109812
iraM	ECK125109812
iraM	ECK125109811
cysB	ECK125134679
safA-ydeO	ECK125134658
safA-ydeO	ECK125134656
ydeP	ECK125134660
yneM	ECK125108740
mgrR	ECK125108737
rstAB	ECK120015656
slyB	ECK120015658
slyB	ECK120015658
mgrB	ECK120011498
fadL	ECK120016253
tolC-ygiABC	ECK120048819
yrbL	ECK120015652
dcuD	ECK120016247
argD	ECK120016251
glgBXCAP	ECK125134953
hdeAB-yhiD	ECK125109312
hdeD	ECK125109312
gadE	ECK125109317
gadW	ECK125109314
malS	ECK120016245
metBL	ECK120016255
purHD	ECK120016249
mgtLA	ECK120011494
treR	ECK120011494
treR	ECK120011494
prpR	ECK120015584
prpBCDE	ECK120015584
prpR	ECK120015236
prpBCDE	ECK120015236
pspABCDE	ECK120015227
pspF	ECK120015227
pspABCDE	ECK120011402
pspF	ECK120011402
pspG	ECK120012388
carAB	ECK120020639
codBA	ECK120026485
purEK	ECK120012943
pyrD	ECK120012873
pyrC	ECK120012871
hflD-purB	ECK120012857
prs	ECK125141282
purR	ECK120012867
purR	ECK120012869
cvpA-purF-ubiX	ECK120013425
purC	ECK120012859
purMN	ECK120012865
guaBA	ECK120013225
glyA	ECK120013227
glnB	ECK120013559
glnB	ECK120013559
purL	ECK120012863
gcvTHP	ECK120013503
speAB	ECK125141284
purHD	ECK120012861
purA	ECK120030277
purA	ECK120030275
putA	ECK120051315
putA	ECK120051313
putA	ECK120018526
putP	ECK120051319
putP	ECK120051317
puuDRCBE	ECK125160662
puuAP	ECK125160662
puuDRCBE	ECK125160664
puuAP	ECK125160664
puuDRCBE	ECK125160666
puuAP	ECK125160666
puuDRCBE	ECK125160668
puuAP	ECK125160668
flhDC	ECK120011222
qseBC	ECK120016596
qseBC	ECK120016594
add	ECK125161315
rbsDACBKR	ECK120015753
purHD	ECK125161311
ydeI	ECK120011222
yagK	ECK125158243
sulA	ECK125158226
sulA	ECK125158224
csgDEFG	ECK125158240
bluF	ECK125158228
bluF	ECK125158230
asr	ECK125158238
asr	ECK125158236
rclABC	ECK120011222
rcnR	ECK120051458
rcnAB	ECK120051458
rcnR	ECK120051456
rcnAB	ECK120051456
csgDEFG	ECK120011222
flhDC	ECK120012275
rcsA	ECK120015814
rcsA	ECK120013577
wza-wzb-wzc-wcaAB	ECK120015810
wza-wzb-wzc-wcaAB	ECK120013232
yjbE	ECK120029979
yjbEFGH	ECK120029979
hdeAB-yhiD	ECK120011222
hdeD	ECK120011222
gadY	ECK120011222
safA-ydeO	ECK120011222
ydeP	ECK120011222
ftsAZ	ECK120011326
lolA-rarA	ECK125145844
osmB	ECK120015225
bdm-sra	ECK120015223
osmC	ECK120011819
gadBC	ECK125109046
rprA	ECK120048839
gadAX	ECK125109049
leuO	ECK125141920
bglG	ECK125109444
bglGFB	ECK125109444
relBE-hokD	ECK120048938
relBE-hokD	ECK120048936
relBE-hokD	ECK120048943
relBE-hokD	ECK120048938
relBE-hokD	ECK120048936
relBE-hokD	ECK120048941
rhaSR	ECK125108625
rhaSR	ECK125108623
rhaBAD	ECK120013279
rhaBAD	ECK120013285
rhaSR	ECK125108625
rhaSR	ECK125108623
rhaSR	ECK125141916
rhaT	ECK120013235
rhaT	ECK120012339
rhaT	ECK125141918
acrAB	ECK120011222
ybiS	ECK120011222
mltF	ECK120011222
aslB	ECK120011222
nfsB	ECK125110176
acrZ	ECK125158232
ybjC-nfsA-rimK-ybjN	ECK125110166
acnA	ECK125110170
marRAB	ECK120011192
fumC	ECK125141983
zwf	ECK120013181
nfo	ECK120013187
micF	ECK120017109
inaA	ECK120011421
tolC-ygiABC	ECK120035034
tolC-ygiABC	ECK120035034
sodA	ECK120013189
rob	ECK125145846
ompF	ECK120033073
csgDEFG	ECK120033070
csgDEFG	ECK120033070
narGHJI	ECK120033075
asr	ECK120033068
rtcBA	ECK120011222
gmr	ECK120011222
carAB	ECK120033908
fepB	ECK120048784
rutR	ECK120033912
rutABCDEFG	ECK120033912
nemRA	ECK120035044
nemRA-gloA	ECK120035044
gadX	ECK120033910
gadXW	ECK120033910
gadW	ECK120011222
ftsQAZ	ECK120030317
ftsQAZ	ECK120018541
ftsQ	ECK120018541
ftsQAZ	ECK120018540
ydiV	ECK120048816
sgrST-setA	ECK120032163
sgrR-sroA-tbpA-thiPQ	ECK120032163
alaC	ECK120032959
hlyE	ECK120033902
hlyE	ECK120033900
hlyE	ECK120033898
hlyE	ECK120033896
hlyE	ECK120014028
hlyE	ECK120012255
fumC	ECK120011222
soxR	ECK120013244
soxS	ECK120013244
soxS	ECK120011222
zinT	ECK120011222
acrAB	ECK120011427
nfsB	ECK125110176
uof-fur	ECK120012581
fldA-uof-fur	ECK120011300
acrZ	ECK125158232
ybjC-nfsA-rimK-ybjN	ECK120011992
ybjC-nfsA-rimK-ybjN	ECK125110166
poxB	ECK120011416
pqiAB	ECK120014016
ptsG	ECK120034568
acnA	ECK125110170
ribA	ECK120011376
ydbK	ECK125162227
ydbK-ompN	ECK125162227
ydbK	ECK125162225
ydbK-ompN	ECK125162225
marRAB	ECK120011192
fumC	ECK120013251
zwf	ECK120013551
nfo	ECK120013247
micF	ECK120011644
micF	ECK120011646
inaA	ECK120011421
fldB	ECK120011598
fldB	ECK120011596
tolC-ygiABC	ECK120035034
tolC-ygiABC	ECK120035034
waaYZ	ECK120051369
sodA	ECK120013249
fpr	ECK120013253
pgi	ECK125109439
