TU	BindingSite
nagBAC-umpH	ECK120011916
nagE	ECK120011916
nagBAC-umpH	ECK120015669
nagE	ECK120015669
fur	ECK120013025
fur	ECK120013025
sdhCDAB-sucABCD	ECK120013033
gltA	ECK120013033
sdhDAB	ECK120013643
galETKM	ECK120012710
galETKM	ECK120012710
modABC	ECK120016846
fiu	ECK120016038
ybiS	ECK125135229
ybiT	ECK125135229
focA-pflB	ECK120016149
serC	ECK120029481
serC-aroA	ECK120029481
ompF	ECK120016046
ompF	ECK120016044
ompF	ECK120016042
pncB	ECK120016866
pncB	ECK120016868
rmf	ECK125161320
ompA	ECK120012830
agp	ECK120018502
putP	ECK120013713
putP	ECK120013711
putP	ECK120013709
ycdZ	ECK125158215
ycdZ	ECK125158211
csgDEFG	ECK120016824
csgDEFG	ECK120016826
ptsG	ECK120012058
ptsG	ECK120011238
comR	ECK125135222
bhsA	ECK125135222
hlyE	ECK120014032
dadAX	ECK120013889
dadAX	ECK120013889
dadAX	ECK120013889
dadAX	ECK120011798
dadAX	ECK120011798
dadAX	ECK120013893
ychH	ECK120033079
sohB	ECK120012440
sohB	ECK120012438
acnA	ECK120014121
puuDRCBE	ECK125161307
mcaS	ECK125141459
feaB	ECK120026335
feaR	ECK120026335
paaABCDEFGHIJK	ECK120011567
paaZ	ECK120011567
aldA	ECK120013797
trg	ECK125108611
gadBC	ECK120015678
lsrACDBFG-tam	ECK125108648
lsrRK	ECK125108648
lsrACDBFG-tam	ECK120018496
lsrRK	ECK120018496
uxaB	ECK125134898
marRAB	ECK120016844
mlc	ECK120014110
mlc-ynfK	ECK120014110
fumC	ECK125158205
fumC	ECK125158207
fumA	ECK125158203
fumAC	ECK125158203
fumA	ECK125147058
fumAC	ECK125147058
manA	ECK125147058
fumA	ECK125147060
fumAC	ECK125147060
manA	ECK125147060
fumA	ECK125147062
fumAC	ECK125147062
manA	ECK125147062
fumA	ECK120016040
fumAC	ECK120016040
uidABC	ECK120015562
malXY	ECK120016887
malI	ECK120016887
malI	ECK120013520
malXY	ECK120013520
sodB	ECK120019264
chbBCARFG	ECK120012034
gdhA	ECK120026467
gapA	ECK120015703
fadD-sroD	ECK120016832
manXYZ	ECK120013523
manXYZ	ECK120013413
flhDC	ECK120013055
araFGH	ECK120013038
azuC	ECK125108617
azuC	ECK125108619
sbmC	ECK120048808
cyaR	ECK120035048
gatYZABCD	ECK120016834
cdd	ECK120013653
cdd	ECK120013651
cdd	ECK120013648
preTA	ECK120035029
mglBAC	ECK120013036
galS	ECK120012702
yeiP	ECK125135224
yeiW	ECK125135224
nrdAB-yfaE	ECK120016848
glpABC	ECK120012736
glpTQ	ECK120012736
glpABC	ECK120015745
glpTQ	ECK120015745
glpABC	ECK120012738
glpTQ	ECK120012738
fadL	ECK120013331
dsdXA	ECK120013367
dsdXA	ECK120013365
nupC	ECK120014152
nupC	ECK120014150
ptsHI-crr	ECK120013574
ptsHI-crr	ECK120013574
ptsHI-crr	ECK120013571
ptsHI-crr	ECK120013571
murQP	ECK120048830
murQP	ECK120048830
narQ	ECK125135236
hyfABCDEFGHIJR-focB	ECK120012054
xseA	ECK120013996
guaBA	ECK120013996
csiE	ECK120011865
grcA	ECK120016854
pka	ECK125141244
pka	ECK125141242
raiA	ECK125161322
grpE	ECK120016840
csiD-lhgO-gabDTP	ECK120011862
srlAEBD-gutM-srlR-gutQ	ECK120016852
srlAEBD-gutM-srlR-gutQ	ECK120016850
ascFB	ECK120051468
rpoS	ECK120011316
rpoS	ECK120011318
relA-mazEF	ECK120029537
fucPIKUR	ECK120012403
fucPIKUR	ECK120013041
araE	ECK120012917
gcvTHP	ECK125141476
gcvTHP	ECK125141477
serA	ECK120011480
epd-pgk	ECK120013423
epd-pgk-fbaA	ECK120013423
metK	ECK120016860
galP	ECK120015205
ansB	ECK120012909
nupG	ECK120013439
nupG	ECK120013045
nupG	ECK120013442
nupG	ECK120011800
glcC	ECK120016836
glgS	ECK120013379
aer	ECK120033077
fadH	ECK125110251
exuT	ECK120048932
exuT	ECK120018504
uxaCA	ECK120018504
tdcABCDEFG	ECK120013030
kbaZ-agaVWA	ECK120012523
metY	ECK120012257
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	ECK120012257
argG	ECK120012257
gltBDF	ECK120029608
nanA	ECK120012557
nanATEK-yhcH	ECK120012557
rplM-rpsI	ECK125161324
mdh	ECK120013972
aaeXAB	ECK125135226
aaeR	ECK125135226
dusB-fis	ECK120016856
dusB-fis	ECK120016858
dusB-fis	ECK120011443
yhfA	ECK120013565
crp	ECK120013565
yhfA	ECK120013562
crp	ECK120013562
ppiA	ECK120012583
ppiA	ECK120012583
ppiA	ECK120012583
ppiA	ECK120013489
ppiA	ECK120013489
nirBDC-cysG	ECK120016864
nirBDC-cysG	ECK120016862
hofMNOP	ECK120051352
hofMNOP	ECK120051350
ompR-envZ	ECK120013728
ompR-envZ	ECK120013728
ompR-envZ	ECK120013728
ompR-envZ	ECK120013728
gntX-nfuA	ECK120012137
gntT	ECK120012116
gntT	ECK120012116
gntT	ECK120012116
malT	ECK120012973
glpD	ECK120014013
glpEGR	ECK120014013
gntK	ECK120013297
gntKU	ECK120013297
ugpBAECQ	ECK120016534
rpoH	ECK120013388
rpoH	ECK120013388
rpoH	ECK120013388
rpoH	ECK120012882
rpoH	ECK120013392
rpoH	ECK120013392
rpoH	ECK120013392
gadE-mdtEF	ECK120030688
gadAX	ECK120015684
dctA	ECK120011343
xylAB	ECK120012508
xylFGHR	ECK120012508
malS	ECK120013057
yiaKLMNO-lyxK-sgbHUE	ECK120013834
yiaJ	ECK120013834
yiaKLMNO-lyxK-sgbHUE	ECK120011795
aldB	ECK120013059
mtlADR	ECK120014009
mtlADR	ECK120013990
mtlADR	ECK120013988
mtlADR	ECK120013974
mtlADR	ECK120014011
uhpT	ECK120013047
ivbL	ECK120012754
ivbL-ilvBN	ECK120012754
tnaC	ECK120012949
tnaCAB	ECK120012949
bglG	ECK120012085
bglGFB	ECK120012085
rbsDACBKR	ECK120014163
trxA	ECK120012442
cyaA	ECK120012662
udp	ECK120013545
udp	ECK120013051
spf	ECK120014148
glnA	ECK120011945
glnALG	ECK120011945
glnA	ECK120011947
glnALG	ECK120011947
glnA	ECK120012721
glnALG	ECK120012721
rhaBAD	ECK120013287
rhaBAD	ECK120012345
rhaSR	ECK120012343
rhaSR	ECK120011310
rhaT	ECK120013580
sodA	ECK120013580
glpFKX	ECK120013468
glpFKX	ECK120013466
cytR	ECK120012405
hupA	ECK120013944
zraSR	ECK120016842
aceBAK	ECK120016026
psiE	ECK120011446
malEFG	ECK120012776
malK-lamB-malM	ECK120012776
malEFG	ECK120012374
malK-lamB-malM	ECK120012374
malEFG	ECK120012779
malK-lamB-malM	ECK120012779
malEFG	ECK120016489
malK-lamB-malM	ECK120016489
acs-yjcH-actP	ECK120011771
acs-yjcH-actP	ECK120011773
proP	ECK120015998
proP	ECK120013470
melR	ECK120012356
melAB	ECK120012356
melR	ECK120012359
melAB	ECK120012359
dcuB-fumB	ECK120014061
dcuR	ECK120033081
aspA	ECK120015761
aspA-dcuA	ECK120015761
hfq-hflXKC	ECK125141164
ulaABCDEF	ECK120012194
rpsF-priB-rpsR-rplI	ECK125161326
cpdB	ECK120013023
mpl	ECK120012490
treBC	ECK120013483
treBC	ECK120011784
idnK	ECK120012197
idnDOTR	ECK120012197
idnK	ECK120012200
idnDOTR	ECK120012200
nanCM	ECK120012575
nanCMS	ECK120012575
gntP	ECK120016838
uxuAB	ECK120012129
gntP	ECK120012129
uxuAB	ECK120013707
gntP	ECK120013707
yjiY	ECK125145853
osmY	ECK120011814
osmY	ECK120013340
osmY	ECK120011812
deoCABD	ECK120011754
deoCABD	ECK120012673
cadC	ECK120011222
cadBA	ECK120011222
fixABCX	ECK125109819
caiTABCDE	ECK125109819
fixABCX	ECK120013811
caiTABCDE	ECK120013811
fixABCX	ECK125109820
caiTABCDE	ECK125109820
fixABCX	ECK120013813
caiTABCDE	ECK120013813
tauABCD	ECK120016873
ssuEADCB	ECK120016810
garPLRK-rnpB	ECK120011222
garD	ECK120011222
gudPXD	ECK120011222
cdaR	ECK120011222
chbBCARFG	ECK120012038
chbBCARFG	ECK120012038
chbBCARFG	ECK120012040
chbBCARFG	ECK120012040
bhsA	ECK120011222
rpoH	ECK120011222
sbmA-yaiW	ECK120011222
ygaU	ECK120011222
yqaE	ECK120011222
slt	ECK120011222
degP	ECK120011216
degP	ECK120011212
degP	ECK120016885
hlpA-lpxD-fabZ-lpxA	ECK120017106
ppiD	ECK120016896
ppiD	ECK120016894
ppiD	ECK120016892
tomB-hha	ECK120029870
aroG	ECK120029882
ompF	ECK120016460
ompF	ECK120016458
ompF	ECK120016462
ompF	ECK120016464
yccA	ECK120029872
efeU_1U_2	ECK120029876
