TU	Gene
cspH	cspH
cspH	cspH
cspH	cspH
cspH	cspH
cspH	cspH
cspH	cspH
cspI	cspI
cspI	cspI
csrA	csrA
csrA	csrA
csrA	csrA
csrA	csrA
csrA	csrA
csrB	csrB
csrC	csrC
csrD	csrD
cstA	cstA
cstA	cstA
cstA	cstA
cueO	cueO
cueR	cueR
curA	curA
cusCFBA	cusC,cusF,cusB,cusA
cusRS	cusR,cusS
cutA	cutA
cutC	cutC
cutC	cutC
cvpA-purF-ubiX	cvpA,purF,ubiX
cvpA-purF-ubiX	cvpA,purF,ubiX
ubiX	ubiX
cvrA	cvrA
cyaA	cyaA
cyaA	cyaA
cyaA	cyaA
cyaR	cyaR
cyaY	cyaY
cybB	cybB
cybB	cybB
cybB	cybB
cybC	cybC
cycA	cycA
cydAB	cydA,cydB
cydAB	cydA,cydB
cydAB	cydA,cydB
cydAB	cydA,cydB
cydAB	cydA,cydB
cydC	cydC
cydDC	cydD,cydC
cydX-ybgE	cydX,ybgE
cynR	cynR
cynTS	cynT,cynS
cynTSX	cynT,cynS,cynX
cyoABCDE	cyoA,cyoB,cyoC,cyoD,cyoE
cyoE	cyoE
cysB	cysB
cysC	cysC
cysDNC	cysD,cysN,cysC
cysE	cysE
cysH	cysH
cysJIH	cysJ,cysI,cysH
cysK	cysK
cysK	cysK
cysPUWAM	cysP,cysU,cysW,cysA,cysM
cysQ	cysQ
cysS	cysS
cysZ	cysZ
cytR	cytR
dacA	dacA
dacA	dacA
dacB	dacB
dacC	dacC
dacD	dacD
dadAX	dadA,dadX
dadAX	dadA,dadX
dadAX	dadA,dadX
bamC	bamC
dapA-bamC	dapA,bamC
dapB	dapB
dapB	dapB
dauA	dauA
dcm-vsr	dcm,vsr
dcp	dcp
dcrB	dcrB
dcrB	dcrB
dcrB	dcrB
dcrB	dcrB
dctA	dctA
dcuB-fumB	dcuB,fumB
dcuB-fumB	dcuB,fumB
fumB	fumB
dcuC	dcuC
dcuD	dcuD
dcuD	dcuD
dcuR	dcuR
dcuSR	dcuS,dcuR
dcyD-yecSC	dcyD,yecS,yecC
yecC	yecC
ddlA	ddlA
